Fold,Accuracy,AUC,F1,Val_Size,Unique_Hospitals
1,0.817375,0.9031602681333866,0.8160644592723153,40000,86
2,0.821225,0.9149227625587865,0.8121864740643466,40000,86
3,0.84295,0.9224852643594103,0.8097747093023255,40000,86
4,0.838025,0.9207563042275894,0.8026199543031226,40000,86
5,0.83035,0.9142487198330238,0.8096493688639551,40000,86
