seed,Accuracy,AUC,DI_RACE,Fair_RACE,DI_SEX,Fair_SEX,DI_ETHNICITY,Fair_ETHNICITY,DI_AGE_GROUP,Fair_AGE_GROUP
1,0.8697480354112395,0.9475261678596214,0.9682820516016635,1,1.3269772174078418,1,0.8240279110719152,1,1.818689792522179,1
8,0.8696291332029012,0.9474661425224185,0.9662147389366592,1,1.3274241117308758,1,0.8221638505212641,1,1.8209981828453385,1
15,0.8693372823278891,0.9473577728419742,0.9681968271425975,1,1.3292028902367183,1,0.8238800112630477,1,1.8223816340321015,1
22,0.8694561845362273,0.94726320832121,0.969630440933259,1,1.3275277990656273,1,0.8231252773650967,1,1.8196356474102342,1
29,0.869926388723747,0.9475191478999048,0.9694279613235923,1,1.328160398077555,1,0.8248289734983378,1,1.818775012208818,1
36,0.8698237004529094,0.9472920461290513,0.9680199409257086,1,1.326476561585452,1,0.8231841307489743,1,1.818925765214193,1
43,0.8698020818695751,0.9475038062703848,0.9687223159896147,1,1.3293903727020573,1,0.8245490287566806,1,1.8209090614708094,1
50,0.8698182958070758,0.9474032344015259,0.9695929938553964,1,1.3271158343753278,1,0.8228899095771713,1,1.8186314197221172,1
57,0.8696507517862354,0.9475234515730477,0.9678303617649056,1,1.329275132585662,1,0.8218238231122036,1,1.8223908713234345,1
64,0.8696777750154032,0.9474462249952011,0.9668226092627716,1,1.3267376136378028,1,0.8209360002258205,1,1.8239320887195885,1
71,0.870023672348751,0.9474413189942571,0.9679230034400221,1,1.3270585831412094,1,0.8241624475270729,1,1.8201193357389986,1
78,0.8699588165987483,0.947475749382396,0.9682129159658404,1,1.327504445449807,1,0.8226234723659278,1,1.8198484926858618,1
85,0.8697534400570731,0.9475753276965316,0.9669831227631007,1,1.3278905978142128,1,0.8207774882883692,1,1.8186162637929912,1
92,0.8697804632862408,0.9474132098915459,0.9684056572950053,1,1.3267858985212797,1,0.8229889951238339,1,1.822095671388812,1
99,0.8696723703695697,0.9473709245801247,0.9667922676011302,1,1.3276002220300038,1,0.8228055442480884,1,1.817566749039472,1
106,0.8700777188070866,0.9476617201116979,0.967750235383946,1,1.326912483211931,1,0.8254676846728817,1,1.8190468459102584,1
113,0.8698777469112449,0.9474678778212021,0.9689067176624224,1,1.3276093741997896,1,0.8227286200784861,1,1.819896390197231,1
120,0.8694129473695589,0.947407563503534,0.9668427559432103,1,1.328343494141032,1,0.8218726565652059,1,1.8218419168101367,1
127,0.8698669376195778,0.9474413910328746,0.9680199369800574,1,1.3287266966839997,1,0.8232317138762055,1,1.8185543658265821,1
134,0.8699047701404127,0.947312562680087,0.9671899714397488,1,1.3277688153863036,1,0.8230674912557986,1,1.81887203942394,1
141,0.8697156075362381,0.9475301403085237,0.9676984002363,1,1.3264361431372909,1,0.8222053797037616,1,1.819256123090149,1
148,0.8696669657237361,0.9474757048966322,0.9690535651020435,1,1.3263754422399023,1,0.823991903221078,1,1.819883482306228,1
155,0.8695696820987321,0.947339597516504,0.9680487022099726,1,1.3251084388922378,1,0.8243845822439898,1,1.817306279597475,1
162,0.8694886124112287,0.9474097719798046,0.969683800122147,1,1.327194095009171,1,0.8240818613980636,1,1.8203722120781825,1
169,0.8697588447029067,0.9474137807725138,0.9687153299867903,1,1.3297528684961506,1,0.8234719294086279,1,1.8193246983131353,1
176,0.8698561283279107,0.9474292678952609,0.9677089286237619,1,1.3275718748440755,1,0.8232789235702986,1,1.8185499525258535,1
183,0.8702776907029283,0.9475130712861779,0.9681030381272498,1,1.3276616967651589,1,0.8224002832013902,1,1.8174037292603424,1
190,0.8699480073070812,0.9474942263142643,0.9684583935395835,1,1.328532367096263,1,0.8231002964825879,1,1.824841050150999,1
197,0.8696723703695697,0.9474320749233528,0.9702368282967682,1,1.3261759151948571,1,0.8244167211920432,1,1.8165058613743295,1
204,0.8698291050987429,0.9473280610127749,0.9650555443081622,1,1.3273577095678444,1,0.8238245021331155,1,1.8176229248169755,1
