Sample_Size,Accuracy,AUC,F1,DI_RACE,DI_SEX,DI_ETHNICITY,DI_AGE_GROUP
1000,0.8003956200750165,0.8841734157706219,0.7728771032175539,0.6042901675561924,0.7206286556115075,0.8306125406849402,0.5546346172069614
2000,0.8140369461589182,0.8980768665098389,0.7903153070800882,0.5975797069387974,0.7278242750714353,0.8333620354147406,0.550013334185834
5000,0.822143914909256,0.9060058578216488,0.7995761060222178,0.6041646072907401,0.7425980441749966,0.8308464822261418,0.5659408212916786
10000,0.8326829742846952,0.9159436766004958,0.8120659511437036,0.5997263074170592,0.7450059742355783,0.8254101025518783,0.5667484614599133
20000,0.843432814847643,0.9256470151076768,0.8244973131471014,0.6586620006699364,0.7514283846827146,0.8225374035983652,0.5598915697191322
50000,0.8566904110773621,0.9358952247480257,0.8388457377627053,0.6514884924576324,0.7529551079822923,0.8259216172252579,0.5557405251293277
100000,0.8645703847026904,0.942501816022155,0.8475920542046298,0.6349136998304757,0.7552681681309511,0.8246537063659942,0.5509979393524294
200000,0.8697534400570731,0.9467668562293559,0.8536607582023209,0.6306112309433074,0.7570854012050232,0.8223652589238374,0.5495677328023801
740102,0.8753688670781403,0.9513280256578026,0.8598738500054689,0.630016773531329,0.7605878334510102,0.8276827467472002,0.5536107763696408
