Method,Accuracy,F1-Score,AUC,Fair Verdicts,CFS (%)
Standard,0.8777,0.8627,0.9527,18,64.3
XGBoost,0.8758,0.8608,0.9514,19,67.9
AFCE-XGB,0.8744,0.8591,0.9505,19,67.9
AFCE-LGBM,0.8766,0.8617,0.9518,18,64.3
Fair (Ours),0.8248,0.8008,0.9456,20,71.4
