Model,A_SR,A_TPR,A_PPV,Accuracy,AUC,Acc_Drop_pp,DI_RACE,Race_Fair,DI_AGE,Age_Fair,DI_SEX,Sex_Fair,DI_ETH,Eth_Fair,Total_Fair
Standard,0.0,0.0,0.0,0.8776766508490699,0.9527140293046817,0.0,0.6544165607499193,4,0.2914071258666016,2,0.7621560583200926,5,0.8318995300145732,7,18
Standard,0.0,0.0,0.4,0.8775199161198967,0.9527140293046817,0.01567347291732135,0.628339593799414,4,0.2671056330487155,2,0.7566801604134791,5,0.8244465418201442,7,18
Standard,0.0,0.0,0.8,0.8765308659323554,0.9527140293046817,0.11457849167144651,0.5952479189588682,4,0.24319440099317113,2,0.7516792303992272,5,0.8166032796315773,7,18
Standard,0.0,0.4,0.0,0.8768713586198696,0.9527140293046817,0.08052922292002274,0.6860301496208632,3,0.34448829399445513,1,0.7861602884204792,5,0.8450156026566786,7,16
Standard,0.0,0.4,0.4,0.8775739625782323,0.9527140293046817,0.010268827083759202,0.6536949385987937,4,0.31436168955816257,2,0.7789859491549516,5,0.8386361222546563,7,18
Standard,0.0,0.4,0.8,0.8775199161198967,0.9527140293046817,0.01567347291732135,0.6025964297674178,4,0.28696823031747876,2,0.7731586989960834,5,0.8311336371209725,7,18
Standard,0.0,0.8,0.0,0.8729151578697047,0.9527140293046817,0.4761492979365123,0.7224437527820116,3,0.40965251930306573,3,0.8144654928140814,7,0.8629051918818212,7,20
Standard,0.0,0.8,0.4,0.8758012387448251,0.9527140293046817,0.18754121042448002,0.6697811684675608,3,0.37130170757167524,3,0.8046174314456118,7,0.8530679289852864,7,20
Standard,0.0,0.8,0.8,0.876817312161534,0.9527140293046817,0.08593386875358489,0.6191754451423196,4,0.339488494237004,1,0.797218257839025,5,0.8450739773799056,7,17
Standard,0.0,1.0,0.0,0.8687319619945305,0.9527140293046817,0.8944688854539362,0.7561105564394964,3,0.4578707260283922,3,0.8353964060781298,7,0.8761895787215869,7,20
Standard,0.0,1.0,0.4,0.873255650557219,0.9527140293046817,0.4421000291850885,0.6977642216870569,3,0.40713713773483434,3,0.8200733674060628,7,0.8629554299865753,7,20
Standard,0.0,1.0,0.8,0.8756390993698183,0.9527140293046817,0.20375514792515537,0.6327860760103283,3,0.36934983488908363,3,0.8107242592196547,7,0.853506100623953,7,20
Standard,0.3,0.0,0.0,0.8744176494114341,0.9527140293046817,0.32590014376358,0.7023022667955151,3,0.36986155782593677,3,0.7932292374937542,5,0.8524820088223005,7,18
Standard,0.3,0.0,0.4,0.8758552852031606,0.9527140293046817,0.18213656459092897,0.6618069546687331,4,0.3382690201806343,1,0.7852631727551248,5,0.8441293437440561,7,17
