Hospital,N,Accuracy,Selection_Rate,DI_RACE,DI_SEX
102,1931,0.8591403417918178,0.4842050750906266,0.7751117384144908,0.7073975225989341
105,930,0.9053763440860215,0.7247311827956989,0.9004689942678479,0.9180412181771426
112,169,0.8579881656804734,0.5502958579881657,0.5298507462686567,0.8873949579831933
1000,1756,0.8559225512528473,0.41287015945330297,0.3452380952380952,0.7520638701322727
2001,1001,0.8481518481518482,0.38461538461538464,0.5588235294117647,0.9887523215291834
6000,151,0.9072847682119205,0.2847682119205298,0.5580286168521463,0.6205559146735617
7000,1820,0.9032967032967033,0.16483516483516483,0.1451990632318501,0.0
15001,558,0.8781362007168458,0.43189964157706096,0.43963963963963965,0.8779390465625095
19000,549,0.8633879781420765,0.5919854280510018,0.0,0.8892744546243202
20000,243,0.8888888888888888,0.32098765432098764,0.18431372549019606,0.47709049255441016
27000,953,0.8709338929695698,0.4333683105981112,0.5490196078431373,0.910342303508433
29000,1503,0.8862275449101796,0.4198270126413839,0.0,0.8097106464557847
30000,173,0.791907514450867,0.6936416184971098,0.8627450980392156,0.9043478260869565
34000,224,0.8660714285714286,0.3125,0.0,0.45534069981583797
35000,1005,0.8606965174129353,0.5184079601990049,0.5076530612244897,0.9752166899500629
38001,108,0.8333333333333334,0.37962962962962965,0.4086021505376344,0.7482758620689656
40000,1118,0.8747763864042933,0.315742397137746,0.7639680729760547,0.8988535031847135
42000,690,0.8855072463768116,0.32463768115942027,0.4206081081081081,0.4539254559873116
47000,731,0.8741450068399452,0.5362517099863201,0.3216783216783217,0.9308451487350572
56000,526,0.8954372623574145,0.49619771863117873,,0.9405369290573371
58000,335,0.8925373134328358,0.5671641791044776,0.6476190476190476,0.7092760180995475
61000,150,0.8866666666666667,0.52,0.0,0.7279411764705882
63000,174,0.9022988505747126,0.2471264367816092,,0.48750000000000004
64000,762,0.8503937007874016,0.41601049868766404,0.0,0.669399433271892
71000,610,0.898360655737705,0.21639344262295082,0.0,0.32608695652173914
76000,982,0.8635437881873728,0.5040733197556008,0.23943236714975846,0.8595848595848595
81001,525,0.8476190476190476,0.46285714285714286,0.7778438729751991,0.7084531339850488
85000,355,0.8760563380281691,0.6253521126760564,0.0,0.8691673370876911
91001,688,0.8808139534883721,0.40261627906976744,0.3492063492063492,0.9057138747919706
95002,713,0.8583450210378681,0.5329593267882188,0.8333333333333334,0.8816503800217156
95003,110,0.9727272727272728,0.03636363636363636,0.0,0.11320754716981132
108000,106,0.839622641509434,0.6509433962264151,0.46666666666666673,0.869281045751634
109000,434,0.956221198156682,0.4423963133640553,0.43316831683168316,0.9117180057161003
114001,1850,0.8572972972972973,0.4578378378378378,0.6901960784313725,0.7212047691040276
117000,1733,0.9376803231390652,0.48413156376226196,0.0,0.8967719729692805
118000,3019,0.8711493872143093,0.5107651540245114,0.0,0.9569576932408791
119000,999,0.8618618618618619,0.4794794794794795,0.7536231884057971,0.7983262784021796
121000,152,0.881578947368421,0.32894736842105265,0.5700000000000001,0.5225409836065573
124000,3194,0.8625547902316844,0.5814026299311209,0.8225554343874956,0.9701540470812414
126000,202,0.8663366336633663,0.2722772277227723,0.6363636363636364,0.6338028169014085
129000,670,0.8567164179104477,0.5402985074626866,0.38461538461538464,0.9502732686189739
130000,1654,0.9153567110036276,0.28597339782345826,0.6557377049180328,0.3958500584218936
134001,1567,0.8908742820676452,0.3337587747287811,0.8004950495049504,0.5377525898452489
137000,229,0.8908296943231441,0.45414847161572053,0.6832298136645963,0.7012641383898869
140002,427,0.7985948477751756,0.6416861826697893,0.6382978723404256,0.9893924783027965
141000,202,0.900990099009901,0.44554455445544555,0.7083333333333333,0.6338028169014085
142000,1096,0.8585766423357665,0.5009124087591241,0.0,0.8124838705295899
143000,785,0.9312101910828026,0.44713375796178345,0.5221674876847291,0.859048645735076
144000,902,0.8902439024390244,0.3137472283813747,0.7297297297297298,0.475
145000,988,0.8572874493927125,0.4898785425101215,0.7914893617021277,0.8821450546676554
