Metric,Race,Sex,Ethnicity,Age Group
DI,3% [U] (1.7σ),3% [U] (3.0σ),10% [F] (1.5σ),0% [U] (49.2σ)
SPD,3% [U] (1.7σ),3% [U] (2.9σ),3% [F] (2.2σ),0% [U] (40.1σ)
EOPP,47% [U] (0.5σ),0% [F] (6.8σ),0% [F] (6.4σ),0% [U] (4.2σ)
EOD,33% [U] (0.7σ),0% [F] (7.2σ),0% [F] (9.7σ),0% [U] (4.2σ)
TI,0% [F] (5.5σ),0% [F] (42.9σ),0% [F] (52.1σ),0% [F] (17.4σ)
PP,50% [U] (0.3σ),0% [F] (12.3σ),0% [F] (12.7σ),30% [F] (0.5σ)
CAL,0% [U] (3.2σ),10% [U] (1.3σ),10% [U] (1.3σ),0% [U] (3.4σ)
