Subset,N,Accuracy,DI_RACE,Fair_DI_RACE,SPD_RACE,Fair_SPD_RACE,EOPP_RACE,Fair_EOPP_RACE,EOD_RACE,Fair_EOD_RACE,TI_RACE,Fair_TI_RACE,PP_RACE,Fair_PP_RACE,CAL_RACE,Fair_CAL_RACE,DI_SEX,Fair_DI_SEX,SPD_SEX,Fair_SPD_SEX,EOPP_SEX,Fair_EOPP_SEX,EOD_SEX,Fair_EOD_SEX,TI_SEX,Fair_TI_SEX,PP_SEX,Fair_PP_SEX,CAL_SEX,Fair_CAL_SEX,DI_ETHNICITY,Fair_DI_ETHNICITY,SPD_ETHNICITY,Fair_SPD_ETHNICITY,EOPP_ETHNICITY,Fair_EOPP_ETHNICITY,EOD_ETHNICITY,Fair_EOD_ETHNICITY,TI_ETHNICITY,Fair_TI_ETHNICITY,PP_ETHNICITY,Fair_PP_ETHNICITY,CAL_ETHNICITY,Fair_CAL_ETHNICITY,DI_AGE_GROUP,Fair_DI_AGE_GROUP,SPD_AGE_GROUP,Fair_SPD_AGE_GROUP,EOPP_AGE_GROUP,Fair_EOPP_AGE_GROUP,EOD_AGE_GROUP,Fair_EOD_AGE_GROUP,TI_AGE_GROUP,Fair_TI_AGE_GROUP,PP_AGE_GROUP,Fair_PP_AGE_GROUP,CAL_AGE_GROUP,Fair_CAL_AGE_GROUP
21,10000,0.8818,0.5864418327371829,0,0.20413653943164617,0,0.23019837305551594,0,0.23019837305551594,0,0.021302610168882595,1,0.2568402471315093,0,0.7088449773851049,0,0.7715907894417131,0,0.11683431658491317,0,0.0408756939714775,1,0.04208960009170648,1,0.006235292266109797,1,0.005194244967253514,1,0.09060269080373379,0,0.8617288833649187,1,0.0628976192689008,1,0.026707774648809912,1,0.026707774648809912,1,0.0016284876024381875,1,0.007801275868751234,1,0.07625033593890873,0,0.2683890027172583,0,0.4474358574628009,0,0.20738288171561048,0,0.20738288171561048,0,0.0217636517986649,1,0.05622691292875992,1,0.1481056110300787,0
22,10000,0.8824,0.6692434210526316,0,0.16907684546830332,0,0.2367424242424242,0,0.2367424242424242,0,0.04663825169793476,1,0.06429391504018367,1,0.3885705314332082,0,0.72978505629478,0,0.14347826086956522,0,0.039766608984730945,1,0.05336868151290208,1,0.007212249352671667,1,0.006218150160928859,1,0.08105231375431232,0,0.8725477369107946,1,0.058198593862668846,1,0.020281757426899416,1,0.020281757426899416,1,0.0010863796645485604,1,0.016055524242845065,1,0.06434485403605028,0,0.3070970878150372,0,0.42189368905467595,0,0.14339127711220734,0,0.14339127711220734,0,0.018739884720595276,1,0.06501683603606168,1,0.2315511131853879,0
23,10000,0.8779,0.6998624011007912,0,0.1467126282159072,0,0.08819538670284932,1,0.08819538670284932,1,0.015106646289152294,1,0.14743589743589736,0,0.8656844148277808,0,0.7751249298575394,0,0.11672436919703971,0,0.03015428295247491,1,0.05018168647360598,1,0.00722763003570466,1,0.0016700064047135976,1,0.0653960604589009,0,0.8592194099213097,1,0.06516439280025005,1,0.0005414171004105572,1,0.025530012597061724,1,0.006321603844390546,1,0.000894086963832863,1,0.0883674923279939,0,0.32070502073443435,0,0.4240012558373566,0,0.16933436641136324,0,0.16933436641136324,0,0.02145185347458193,1,0.03627201547823489,1,0.28013488562452604,0
24,10000,0.8802,0.5288502154262059,0,0.2344459391289726,0,0.2947154471544715,0,0.2947154471544715,0,0.05243585435575617,1,0.21139240506329116,0,0.7919898944001625,0,0.7509637772434061,0,0.13010590474208755,0,0.0394938111812464,1,0.05190873863807152,1,0.0005056338196134796,1,0.004523918394349513,1,0.06293787747739027,0,0.8033588033588034,1,0.09132288401253918,1,0.01621870127566083,1,0.034472358044557116,1,0.005519229603416324,1,0.00182744919587019,1,0.08544383843111211,0,0.2744179729726678,0,0.4529782729706281,0,0.1898329632458443,0,0.1898329632458443,0,0.017331885101620377,1,0.05030562016552176,1,0.24645114021200232,0
25,10000,0.879,0.4561943319838056,0,0.2823272238103246,0,0.19999999999999996,0,0.19999999999999996,0,0.017606149465285617,1,0.24410256410256415,0,0.405470082899866,0,0.7627568586378403,0,0.12332491433674203,0,0.0307601355773941,1,0.0520262967303079,1,0.005852803427434029,1,0.0010131739808387774,1,0.06671240693164138,0,0.8189050895885601,1,0.08405238566302242,1,0.02357618863983979,1,0.029692450398140002,1,0.0007771213813381819,1,0.0019748418552073543,1,0.09605158626900812,0,0.2847074664922241,0,0.44523139383167737,0,0.1859076426788745,0,0.1859076426788745,0,0.017187480922184736,1,0.04163035419295258,1,0.2537426064863889,0
26,10000,0.8742,0.634541910331384,0,0.19703211703379858,0,0.08934770692490412,1,0.09961605584642233,1,0.038452284366914634,1,0.06066906066906075,1,0.5559610278992781,0,0.746246688254342,0,0.13639240506329114,0,0.051564079893165804,1,0.051564079893165804,1,0.0036290708622282383,1,0.023810236068150137,1,0.06640763030044092,0,0.854435572599827,1,0.06839629855741824,1,0.014704464740652123,1,0.021061453383910286,1,0.00244251761398271,1,0.009533726250110619,1,0.05126084904234296,0,0.31893183912531065,0,0.42274286494403884,0,0.18297446646341464,0,0.18297446646341464,0,0.021160431431675203,1,0.11685911598371479,0,0.34168347479056493,0
27,10000,0.8779,0.5339930052034462,0,0.229653606860602,0,0.16883116883116878,0,0.16883116883116878,0,0.02992610334456603,1,0.0888888888888888,1,0.25966766159409005,0,0.7499069398627944,0,0.13285982421137998,0,0.0411712386480666,1,0.05453869133394357,1,0.0032289896633629425,1,0.0028248415728432397,1,0.055818465226005975,0,0.8327144977437071,1,0.07838220074272845,1,0.008707616457204082,1,0.04677392128601665,1,0.010670238389093145,1,0.024416566244261473,1,0.0979399848767486,0,0.27783266859367406,0,0.45432360457262916,0,0.2087266624711559,0,0.2087266624711559,0,0.0200340771336635,1,0.09657776153939834,1,0.1349995759781059,0
28,10000,0.8785,0.4662363455809334,0,0.27114511518412654,0,0.21304347826086956,0,0.21304347826086956,0,0.017507985597012395,1,0.12222222222222223,0,0.6882454868289913,0,0.7842859338444986,0,0.11179255719279618,0,0.026756309133251666,1,0.04948918456776276,1,0.0046453515276794755,1,0.002532337204185775,1,0.0816683699620232,0,0.8846448881399898,1,0.05330610319016854,1,0.014007092198581539,1,0.01759885792171466,1,0.0011174619727699411,1,0.0045213633366421035,1,0.05007656622832657,0,0.28641369981800735,0,0.44681247448261185,0,0.18272483330622868,0,0.18272483330622868,0,0.016533173250581096,1,0.04299274148520371,1,0.1363741609136811,0
29,10000,0.8714,0.6255829447035309,0,0.1890028585841601,0,0.07912658091017188,1,0.07912658091017188,1,0.03240386873482408,1,0.052742616033755185,1,0.611497581279036,0,0.7802103297459334,0,0.11159674629050503,0,0.025142046090360193,1,0.053687803931739886,1,0.007493325133804976,1,0.006566960512951803,1,0.05905327213408329,0,0.8520188464901167,1,0.06735157712630108,1,0.006555211084806722,1,0.02409071346136736,1,0.004330033256295253,1,0.005122984466848335,1,0.10406337652015607,0,0.29671644309457523,0,0.43190694541592184,0,0.15073515298092055,0,0.15073515298092055,0,0.024104152741412907,1,0.06241643054243762,1,0.2538410091382719,0
30,10000,0.8816,0.631578947368421,0,0.1842105263157895,0,0.13533834586466165,0,0.13533834586466165,0,0.014528632662373253,1,0.06699171787336355,1,0.41989493178730686,0,0.7440740008171997,0,0.13498177530527594,0,0.031507394409389655,1,0.06893545955547736,1,0.009778754690193833,1,0.01677310467398796,1,0.04432047447641074,1,0.8271443411534146,1,0.08031846148370181,1,0.01395618397446552,1,0.023846620272194932,1,0.0013688380825492286,1,0.009601281400819395,1,0.07331843265336224,0,0.2935278272115746,0,0.43945266970782204,0,0.13270020909183955,0,0.1479418034105534,0,0.0196906737604272,1,0.038818821246665136,1,0.3503608201681905,0
