Method,Accuracy,F1,AUC,DI_RACE,DI_SEX,DI_ETHNICITY,DI_AGE_GROUP,Fair_Count
Baseline (Random_Forest),0.7486515408645271,0.740172525532438,0.8362820116487849,0.5957490590771837,0.7831159756237926,0.8107618866528236,0.5176608604894914,1
Threshold-RACE,0.8394549955141439,0.8235950852480239,0.9261421568799593,0.9989798153827874,0.7791122165292348,0.8945376879500782,0.5208009335667853,2
Threshold-SEX,0.8375633694723985,0.8215144694724715,0.9261421568799593,0.5820543042483266,0.9999953980131229,0.8189267880349743,0.5166800038301962,2
Threshold-ETHNICITY,0.8403954038891831,0.8246283946291666,0.9261421568799593,0.7211451720400428,0.7793744671828706,0.9999823406106763,0.5280935186518219,1
RACExSEX Equalization,0.8331802017013825,0.8167015060097866,0.9261421568799593,0.9946549651317479,0.9999084168908376,0.8977606441374761,0.5202781405408045,3
