Fold,N_test,N_hospitals_test,Accuracy,AUC,F1,DI_RACE,WTPR_RACE,DI_AGE_GROUP,WTPR_AGE_GROUP,DI_SEX,WTPR_SEX,DI_ETHNICITY,WTPR_ETHNICITY
1,185026,88,0.8023088647000962,0.8826475134161955,0.7793874621536532,0.6648848501046817,0.7194805194805195,0.5044679004075218,0.7647257654195798,0.7593007075730794,0.7897638968725383,0.7843723779949633,0.763064434297311
2,185026,90,0.7877109163036546,0.8734120352443346,0.7707741238948382,0.7385093461801321,0.7428571428571429,0.5371099875310712,0.7603748545963923,0.8493666832542424,0.7919860919106866,0.8731736312298155,0.7638286466202057
3,185026,88,0.8003253596791802,0.8830497798989305,0.7898452209625766,0.6850447147637359,0.789179104477612,0.5459058225834534,0.7726664795337087,0.8421480474917012,0.7958190865371251,0.7913418772743344,0.7992024143134296
4,185025,88,0.8003783272530739,0.8887298814297804,0.7883829789672104,0.6950902700111838,0.8062869425040301,0.520476775831743,0.7869658410451824,0.7878362203612832,0.8147240255367293,0.8105201038986592,0.7996391248778287
5,185025,87,0.7895365491149845,0.8739738660212083,0.7723187922798525,0.6752576517413573,0.748993288590604,0.5179389769085766,0.7535296560315593,0.8126267971463773,0.7845658508752267,0.7427728962236659,0.7374358974358974
