Hospital,N,Accuracy,Selection_Rate,True_Rate,DI_RACE,WTPR_RACE,DI_AGE_GROUP,WTPR_AGE_GROUP
102,1931,0.8120145002589332,0.39047125841532887,0.49456240290005177,0.35000000000000003,0.25,0.6310737342847434,0.6808510638297872
105,930,0.8763440860215054,0.7666666666666667,0.7290322580645161,0.9133663366336634,0.9368635437881874,0.7532314923619271,0.9047619047619048
112,169,0.8579881656804734,0.5976331360946746,0.5266272189349113,0.7761194029850746,0.9253731343283582,0.7692307692307693,0.9104477611940298
1000,1756,0.8109339407744874,0.33712984054669703,0.4293849658314351,0.0,0.0,0.36178107606679033,0.615819209039548
2001,1001,0.7842157842157842,0.5384615384615384,0.41858141858141856,0.4318181818181818,0.5,0.5361885790172642,0.8540145985401459
6000,151,0.8874172185430463,0.26490066225165565,0.3509933774834437,0.6072664359861591,0.7111111111111111,0.33185840707964603,0.6666666666666666
7000,1820,0.8983516483516484,0.17307692307692307,0.1934065934065934,0.0,0.5465116279069767,0.0,0.6846590909090909
15001,558,0.8655913978494624,0.43010752688172044,0.48566308243727596,0.3891891891891892,0.6857142857142857,0.49262536873156343,0.765
19000,549,0.8032786885245902,0.6848816029143898,0.5865209471766849,0.6679920477137177,0.9078498293515358,0.7328755265739512,0.8909090909090909
20000,243,0.8477366255144033,0.37037037037037035,0.3168724279835391,0.3186440677966102,0.5,0.2426065162907268,0.7142857142857143
27000,953,0.8457502623294858,0.4018887722980063,0.453305351521511,0.39215686274509803,0.6666666666666666,0.48337995337995343,0.7212543554006968
29000,1503,0.8642714570858283,0.4471057884231537,0.4231536926147705,0.0,0.8517745302713987,0.48525798525798525,0.8482905982905983
30000,173,0.7861271676300579,0.5838150289017341,0.6011560693641619,0.7243130227001195,0.6451612903225806,0.7407407407407408,0.6666666666666666
34000,224,0.84375,0.24553571428571427,0.29464285714285715,0.0,0.6515151515151515,0.21708413615928068,0.48717948717948717
35000,1005,0.8278606965174129,0.5054726368159204,0.5442786069651742,0.49014778325123154,0.7426470588235294,0.4983377077865267,0.7400530503978779
38001,108,0.7962962962962963,0.3425925925925926,0.4351851851851852,0.4691358024691358,0.5714285714285714,0.2964705882352941,0.5666666666666667
40000,1118,0.8264758497316637,0.29427549194991054,0.3550983899821109,0.7240592930444697,0.6046511627906976,0.3865960555149744,0.6376306620209059
42000,690,0.8231884057971014,0.41884057971014493,0.32608695652173914,0.5358680057388809,0.6,0.3716535433070866,0.8426966292134831
47000,731,0.853625170998632,0.5978112175102599,0.5362517099863201,0.40909090909090906,0.9178082191780822,0.6256684491978609,0.911660777385159
56000,526,0.8840304182509505,0.4695817490494297,0.4790874524714829,,,0.5228174603174603,0.8095238095238095
58000,335,0.8925373134328358,0.573134328358209,0.573134328358209,0.6729776247848536,0.8461538461538461,0.499515704995157,0.845360824742268
61000,150,0.8533333333333334,0.4866666666666667,0.5133333333333333,0.0,0.0,0.4568764568764569,0.75
63000,174,0.867816091954023,0.20114942528735633,0.3103448275862069,,,0.10410641989589357,0.36666666666666664
64000,762,0.8307086614173228,0.3779527559055118,0.431758530183727,0.0,0.0,0.45548914753067005,0.7129186602870813
71000,610,0.8508196721311475,0.319672131147541,0.2360655737704918,0.49233811171527436,0.8181818181818182,0.3464219330855019,0.8217821782178217
76000,982,0.845213849287169,0.445010183299389,0.48370672097759676,0.2583333333333333,0.6,0.5422587883320867,0.76
81001,525,0.8247619047619048,0.5466666666666666,0.4895238095238095,0.7280269058295964,0.8404255319148937,0.5877816115283134,0.8502994011976048
85000,355,0.8140845070422535,0.4788732394366197,0.6028169014084507,0.0,0.5384615384615384,0.5189547294810453,0.6640625
91001,688,0.8619186046511628,0.43023255813953487,0.4055232558139535,0.2857142857142857,0.8555555555555555,0.4800583657587549,0.8072916666666666
95002,713,0.8302945301542777,0.5525946704067322,0.5007012622720898,0.5,0.6,0.6367135811379766,0.8571428571428571
95003,110,0.990909090909091,0.03636363636363636,0.045454545454545456,0.0,0.0,0.027522935779816515,0.75
108000,106,0.7264150943396226,0.8584905660377359,0.5849056603773585,0.9283950617283951,1.0,0.8181818181818182,1.0
109000,434,0.8640552995391705,0.33640552995391704,0.4631336405529954,0.0,0.0,0.32697547683923706,0.6756756756756757
