Model,Accuracy,AUC-ROC,F1-Score,Precision,Recall
Logistic Regression,0.736447850572352,0.8158962157185625,0.6965941190378417,0.7234672249793217,0.6716459098217071
Random Forest,0.7486515408645271,0.8362820116487849,0.740172525532438,0.6925932121871144,0.7947711947783936
Gradient Boosting,0.7544182979689341,0.8378670441306139,0.7281754933807122,0.7261295441258934,0.7302330045833033
Neural Network,0.7522672489271778,0.8358653021719455,0.7284393125225871,0.7194920709228159,0.737611882993785
