Attribute,Metric,Mean,Std,Min,Max,Range,CV,I_Squared,N_Folds
RACE,tpr,0.6798198880991503,0.11319193878494939,0.23829787234042554,0.8439597780859918,0.6056619057455662,0.16650283518689965,0,50
RACE,ppv,0.7309223942668792,0.16590198888325158,0.12081263734312801,0.9423948220064725,0.8215821846633445,0.2269762018300897,0,50
RACE,demographic_parity,0.5541328423474434,0.15535272787443397,0.2942277527001816,0.9114583333333333,0.6172305806331517,0.2803528612675644,0,50
ETHNICITY,tpr,0.8436997042661138,0.10015621912099487,0.49972716642847864,0.9949933261023299,0.4952661596738513,0.11871074342513258,0,50
ETHNICITY,ppv,0.9025420118450346,0.08063697469487621,0.6217745136959112,0.997492602527258,0.37571808883134683,0.08934428939217234,0,50
ETHNICITY,demographic_parity,0.6819827333113564,0.1657144251600578,0.1614563055716315,0.9825699058156628,0.8211136002440313,0.24298918002723327,0,50
SEX,tpr,0.9192573341610754,0.04782951206303079,0.7408229114089694,0.9965080226328411,0.2556851112238717,0.05203060153627226,0,50
SEX,ppv,0.9204504558900612,0.05540288013951166,0.6328112387198058,0.992511621137443,0.35970038241763713,0.060191050789298525,0,50
SEX,demographic_parity,0.692645431990751,0.10491316697432136,0.40430231441467396,0.9112502576422007,0.5069479432275268,0.1514673484134409,0,50
AGE_GROUP,tpr,0.6160833825673656,0.07945375630302746,0.434874525747942,0.7530145575961369,0.3181400318481949,0.12896591362669907,0,50
AGE_GROUP,ppv,0.9246808715187746,0.06666026951354397,0.6454305657271366,0.9957961692841952,0.3503656035570586,0.072090027561677,0,50
AGE_GROUP,demographic_parity,0.3849420366933692,0.07516641283685388,0.1824716292951102,0.5252780042934408,0.34280637499833067,0.19526683415126395,0,50
