Acc,AUC,DI_RACE,DI_RACE_pass,SPD_RACE,SPD_RACE_pass,EOPP_RACE,EOPP_RACE_pass,EOD_RACE,EOD_RACE_pass,TI_RACE,TI_RACE_pass,PP_RACE,PP_RACE_pass,CAL_RACE,CAL_RACE_pass,DI_SEX,DI_SEX_pass,SPD_SEX,SPD_SEX_pass,EOPP_SEX,EOPP_SEX_pass,EOD_SEX,EOD_SEX_pass,TI_SEX,TI_SEX_pass,PP_SEX,PP_SEX_pass,CAL_SEX,CAL_SEX_pass,DI_ETHNICITY,DI_ETHNICITY_pass,SPD_ETHNICITY,SPD_ETHNICITY_pass,EOPP_ETHNICITY,EOPP_ETHNICITY_pass,EOD_ETHNICITY,EOD_ETHNICITY_pass,TI_ETHNICITY,TI_ETHNICITY_pass,PP_ETHNICITY,PP_ETHNICITY_pass,CAL_ETHNICITY,CAL_ETHNICITY_pass,DI_AGE_GROUP,DI_AGE_GROUP_pass,SPD_AGE_GROUP,SPD_AGE_GROUP_pass,EOPP_AGE_GROUP,EOPP_AGE_GROUP_pass,EOD_AGE_GROUP,EOD_AGE_GROUP_pass,TI_AGE_GROUP,TI_AGE_GROUP_pass,PP_AGE_GROUP,PP_AGE_GROUP_pass,CAL_AGE_GROUP,CAL_AGE_GROUP_pass,Fold,N_hospitals,N_test
0.8358447735379959,0.9275411859177274,0.48814229249011865,False,0.3226409218312052,False,0.20719844357976658,False,0.20719844357976658,False,0.0001390298571550515,True,0.06348814229249011,True,0.10788820578195188,False,0.745244820332381,False,0.1566956588882209,False,0.04079673883558721,True,0.11939577155038555,False,0.00019640699287481675,True,0.007087349879538296,True,0.09356251036301932,False,0.7448859910752869,False,0.14329935235085833,False,0.045277686012911045,True,0.10578819875097376,False,0.0002351599445047127,True,0.023550880750687675,True,0.08290305775805686,False,0.2572262143093921,False,0.5159712632849589,False,0.3065353345841151,False,0.3065353345841151,False,0.00039218320276988676,True,0.17168076310676772,False,0.08893553172675031,False,1,21,46255
0.8487796441619647,0.9329851104844527,0.5303795664939421,False,0.25762005820083717,False,0.12042124542124544,False,0.15678391959798996,False,8.473107093161193e-05,True,0.1889763779527559,False,0.02906856147598421,True,0.7733158184811767,False,0.12653857047648664,False,0.04965235786405986,True,0.07652290156566263,True,0.00014113279202394857,True,0.010082022366330157,True,0.027582360340542962,True,0.8248432226456178,True,0.08706415564033881,True,0.05109223160505616,True,0.05109223160505616,True,6.801666308343599e-05,True,0.00480934990044235,True,0.024244418969622174,True,0.2726184860434665,False,0.4711331336184338,False,0.24981075913783435,False,0.24981075913783435,False,0.00044831206590768835,True,0.11992595147218288,False,0.04642615043903129,True,2,21,46257
0.8249816248000346,0.9127305606335233,0.7366388681170114,False,0.14323247898353358,False,0.236547827119852,False,0.236547827119852,False,0.0005634986168146427,True,0.07233215289693695,True,0.07800459780223036,False,0.8285630702423011,True,0.08873703796141169,True,0.038016471644963246,True,0.062473518437292846,True,0.00010860753724821308,True,0.020052725044270914,True,0.052607588943813344,False,0.9287240121145967,True,0.034833988832766616,True,0.04049648049441523,True,0.046920215958498754,True,0.000282771462277882,True,0.04212758695318475,True,0.04687545482199258,True,0.37738114014355223,False,0.3690073811734721,False,0.170390927754955,False,0.170390927754955,False,0.00014584409586852667,True,0.035589322337929774,True,0.04676530079567244,True,3,22,46258
0.8445573451518755,0.9270116917066196,0.5530472726313974,False,0.21694818186471915,False,0.10350463222636985,False,0.10350463222636985,False,0.00021550783579997717,True,0.08288750260768918,True,0.04539417009680785,True,0.7547162950657889,False,0.12195400859955374,False,0.06586859886295948,True,0.06586859886295948,True,0.00015156156238508613,True,0.006619442407038156,True,0.024658965684339736,True,0.7582477625311297,False,0.10803146039379613,False,0.06535540251156813,True,0.06535540251156813,True,6.363215256670416e-05,True,0.002424827969882526,True,0.024092836344193493,True,0.2642771123556065,False,0.4401346038330951,False,0.2956467619274973,False,0.2956467619274973,False,0.000245242542899338,True,0.10611713687743873,False,0.02945828687464503,True,4,22,46255
0.8329045508593665,0.9299242569728435,0.6193395516774485,False,0.27684396241640113,False,0.06559836976658018,True,0.4186628186628186,False,0.00011070449689396119,True,0.3555497564370216,False,0.09704016302859403,False,0.7666066387454353,False,0.14497184554070192,False,0.028846699016143895,True,0.09122315083636831,True,3.2835075468905586e-05,True,0.0261431438157278,True,0.10316971421665973,False,0.9797495032254939,True,0.010831833130389823,True,0.04114286441880777,True,0.06866694803044607,True,0.00048795510383156833,True,0.09763045366443313,True,0.12556953286511918,False,0.1735001591512438,False,0.5933107575659321,False,0.4700189146207195,False,0.4700189146207195,False,0.00013106913581015234,True,0.27416203061991984,False,0.10612096368346915,False,5,23,46255
0.825482608789641,0.9212515475941045,0.7368337366168319,False,0.09944479416846203,True,0.2532179115300943,False,0.2532179115300943,False,0.0002711871534830904,True,0.061736668589933874,True,0.11253203382811945,False,0.5483519443741542,False,0.21654680566148193,False,0.11202697129217054,False,0.11202697129217054,False,4.573452922910885e-05,True,0.0055080385652181985,True,0.09573351679242173,False,0.5800106575958504,False,0.1681194739364727,False,0.13316428237585043,False,0.13316428237585043,False,0.0002424639248546339,True,0.028144232395614144,True,0.10414540602834417,False,0.19028632459408043,False,0.4778899475354439,False,0.40389180177043904,False,0.40389180177043904,False,0.0007302443772264407,True,0.09076899139802475,True,0.11174468807766899,False,6,21,46259
0.8448950474502259,0.9261639793161716,0.8852406225773749,True,0.05134741150593991,True,0.13347457627118642,False,0.13347457627118642,False,0.00012535269699655923,True,0.08423523736113547,True,0.052218760380574165,False,0.7719067018132438,False,0.11328202483437144,False,0.02699439753807309,True,0.048240212882316946,True,1.0964932607926891e-06,True,0.01887501234350597,True,0.019761503777971617,True,0.8505676706596899,True,0.06715159797181353,True,0.04638894512083436,True,0.04638894512083436,True,0.0005532927832323439,True,0.0949934240367225,True,0.05507522038012571,False,0.29151325600472583,False,0.4149534191742763,False,0.23862177475010427,False,0.23862177475010427,False,0.0001826295740173012,True,0.2560653328520601,False,0.06474773127079432,False,7,21,46259
0.8209313386371497,0.9106273075696462,0.1546522984914342,False,0.5108521428751255,False,0.4116968064640246,False,0.4116968064640246,False,0.001498349209122344,True,0.284272997032641,False,0.08151185280879493,False,0.9101028925620509,True,0.04660951867371044,True,0.015587706597034012,True,0.038227469796912716,True,2.9897741587683272e-05,True,0.011550905498514341,True,0.034156143298446906,True,0.8085443481857993,True,0.10959438260102344,False,0.06828615935656623,True,0.09573920963720009,True,0.00041858433479543405,True,0.036279550411078776,True,0.042663285334665006,True,0.27591382071609927,False,0.45424366957097206,False,0.25357106591655,False,0.25357106591655,False,0.00021466541913538802,True,0.042471469569444587,True,0.03477168715553501,True,8,22,46256
0.8388282347854286,0.9230966439986993,0.8027522935779816,True,0.0986238532110092,True,0.10142857142857142,False,0.12260536398467432,False,2.1346865321308093e-05,True,0.061954887218045096,True,0.02121008724062846,True,0.8222772317721329,True,0.0849896641115106,True,0.05148338357997606,True,0.05148338357997606,True,0.00010569783732321085,True,0.005955457872446224,True,0.02316880438802846,True,0.8047254426302831,True,0.08736696151397377,True,0.07043127570482155,True,0.07043127570482155,True,0.00020102409634056156,True,0.028571378795740787,True,0.02929320038467051,True,0.3755917963120323,False,0.34800113191048576,False,0.22024136289972718,False,0.22024136289972718,False,0.0002511992832457807,True,0.04941336538612151,True,0.021836307911397883,True,9,23,46255
0.8459509706429158,0.9295095811857695,0.7899177979217028,False,0.1074468359763967,False,0.21320868516284686,False,0.21320868516284686,False,7.783352404075374e-05,True,0.18161856963613554,False,0.03672323392529346,True,0.7804291417021639,False,0.12024582800606315,False,0.03256716460525688,True,0.06018077499338573,True,1.9211503557864558e-05,True,0.013139082676992708,True,0.038549498286855235,True,0.6551175645885482,False,0.16918903869075708,False,0.03838892981733877,True,0.0656784281211012,True,1.4238684304350565e-06,True,0.031271393440606365,True,0.04262223252807718,True,0.2718292819888922,False,0.4735719296235015,False,0.30507985414636374,False,0.30507985414636374,False,0.00039354854752634335,True,0.14481825569797935,False,0.055381058741979516,False,10,22,46258
