Model,Attribute,Metric,Mean,Std,Threshold,Margin,Margin_sigma,VFR,Pct_Fair,Verdict
HistGradientBoosting,RACE,SPD,0.180946,0.051522,0.1,0.0809,1.6,0.0333,3.3,UNFAIR
HistGradientBoosting,RACE,EOPP,0.136022,0.072101,0.1,0.036,0.5,0.4,40.0,UNFAIR
HistGradientBoosting,RACE,EOD,0.138519,0.069424,0.1,0.0385,0.6,0.4,40.0,UNFAIR
HistGradientBoosting,RACE,TI,0.022836,0.013924,0.1,0.0772,5.5,0.0,100.0,FAIR
HistGradientBoosting,RACE,PP,0.117321,0.074109,0.1,0.0173,0.2,0.4667,53.3,FAIR
HistGradientBoosting,RACE,CAL,0.548262,0.166342,0.05,0.4983,3.0,0.0,0.0,UNFAIR
HistGradientBoosting,SEX,DI,0.751075,0.014568,0.8,0.0489,3.4,0.0,0.0,UNFAIR
HistGradientBoosting,SEX,SPD,0.1291,0.009242,0.1,0.0291,3.1,0.0,0.0,UNFAIR
HistGradientBoosting,SEX,EOPP,0.044478,0.009807,0.1,0.0555,5.7,0.0,100.0,FAIR
HistGradientBoosting,SEX,EOD,0.058526,0.008676,0.1,0.0415,4.8,0.0,100.0,FAIR
HistGradientBoosting,SEX,TI,0.003042,0.002033,0.1,0.097,47.7,0.0,100.0,FAIR
HistGradientBoosting,SEX,PP,0.009451,0.006803,0.1,0.0905,13.3,0.0,100.0,FAIR
HistGradientBoosting,SEX,CAL,0.075373,0.018078,0.05,0.0254,1.4,0.0333,3.3,UNFAIR
HistGradientBoosting,ETHNICITY,DI,0.82887,0.019331,0.8,0.0289,1.5,0.0667,93.3,FAIR
HistGradientBoosting,ETHNICITY,SPD,0.078421,0.009286,0.1,0.0216,2.3,0.0,100.0,FAIR
HistGradientBoosting,ETHNICITY,EOPP,0.02986,0.012318,0.1,0.0701,5.7,0.0,100.0,FAIR
HistGradientBoosting,ETHNICITY,EOD,0.035787,0.007587,0.1,0.0642,8.5,0.0,100.0,FAIR
HistGradientBoosting,ETHNICITY,TI,0.002309,0.001805,0.1,0.0977,54.1,0.0,100.0,FAIR
HistGradientBoosting,ETHNICITY,PP,0.01178,0.009015,0.1,0.0882,9.8,0.0,100.0,FAIR
