Lambda,Accuracy,Delta Acc (pp),F1,AUC,Fair Verdicts,CFS (%)
Baseline (lambda = 0),0.8755,-0.22,0.8627,0.9527,21,75.0
lambda = 1,0.8507,-2.7,0.8307,0.9459,22,78.6
lambda = 3,0.8392,-3.85,—,—,20,71.4
lambda = 8,0.8282,-4.94,—,—,19,67.9
lambda = 15,0.8278,-4.98,—,—,17,60.7
lambda = 25,0.8245,-5.32,—,—,18,64.3
lambda = 50,0.8295,-4.81,—,—,17,60.7
