Protected Attribute,Standard,XGBoost,AFCE-XGB,AFCE-LGBM,Fair (Ours)
Race,0.652,0.649,0.622,0.619,0.813
Sex,0.761,0.763,0.79,0.791,0.888
Ethnicity,0.83,0.832,0.835,0.836,0.912
Age Group,0.291,0.293,0.291,0.291,0.59
