Metric,Race,Sex,Ethnicity,Age Group
DI,0% [U] (1.6σ),3% [U] (2.8σ),7% [F] (1.5σ),0% [U] (46.4σ)
SPD,0% [U] (1.6σ),3% [U] (2.8σ),3% [F] (2.2σ),0% [U] (38.7σ)
EOPP,47% [U] (0.5σ),0% [F] (6.7σ),0% [F] (6.7σ),0% [U] (4.3σ)
EOD,33% [U] (0.7σ),0% [F] (6.8σ),0% [F] (9.7σ),0% [U] (4.3σ)
TI,0% [F] (5.4σ),0% [F] (42.2σ),0% [F] (52.8σ),0% [F] (17.1σ)
PP,47% [U] (0.4σ),0% [F] (11.7σ),0% [F] (12.8σ),27% [F] (0.6σ)
CAL,0% [U] (3.6σ),3% [U] (1.3σ),10% [U] (1.2σ),0% [U] (2.5σ)
