,DI,SPD,EOPP,EOD,TI,PP,CAL
DI,0.0,0.041666666666666664,0.5625,0.5416666666666666,0.8125,0.7708333333333334,0.375
SPD,0.041666666666666664,0.0,0.5208333333333334,0.5,0.7708333333333334,0.7291666666666666,0.375
EOPP,0.5625,0.5208333333333334,0.0,0.020833333333333332,0.25,0.20833333333333334,0.4791666666666667
EOD,0.5416666666666666,0.5,0.020833333333333332,0.0,0.2708333333333333,0.22916666666666666,0.4583333333333333
TI,0.8125,0.7708333333333334,0.25,0.2708333333333333,0.0,0.041666666666666664,0.5208333333333334
PP,0.7708333333333334,0.7291666666666666,0.20833333333333334,0.22916666666666666,0.041666666666666664,0.0,0.4791666666666667
CAL,0.375,0.375,0.4791666666666667,0.4583333333333333,0.5208333333333334,0.4791666666666667,0.0
