Model,A_SR,A_TPR,A_PPV,Accuracy,AUC,Acc_Drop_pp,DI_RACE,Race_Fair,DI_AGE,Age_Fair,DI_SEX,Sex_Fair,DI_ETH,Eth_Fair,Total_Fair
Standard,0.0,0.0,0.0,0.8776766508490699,0.9527141541480187,0.0,0.6544165607499193,4,0.2914071258666016,2,0.7621560583200926,5,0.8318995300145732,7,18
Standard,0.0,0.0,0.4,0.8774604650157275,0.9527141541480187,0.021618583334237496,0.6170980465250794,4,0.2671056330487155,2,0.7564945468246226,5,0.8245661096187227,7,18
Standard,0.0,0.0,0.8,0.8764822241198534,0.9527141541480187,0.11944267292164357,0.5732305498808309,2,0.24318954700728246,2,0.7517033586195312,5,0.8174853805367602,7,16
Standard,0.0,0.4,0.0,0.8768821679115367,0.9527141541480187,0.07944829375331475,0.6853279693244243,3,0.34448829399445513,1,0.7862377870618604,5,0.8450878829862513,7,16
Standard,0.0,0.4,0.4,0.8776009858074001,0.9527141541480187,0.0075665041669781274,0.6392733885077171,4,0.31436168955816257,2,0.779335668392392,5,0.8387089695421842,7,18
Standard,0.0,0.4,0.8,0.8774874882448953,0.9527141541480187,0.01891626041745642,0.5832727237441109,2,0.28696232938535077,2,0.7733147479823764,5,0.8320543283325904,7,16
Standard,0.0,0.8,0.0,0.8733799574113909,0.9527141541480187,0.4296693437679022,0.7252331109008611,3,0.40965251930306573,3,0.8145718470342997,7,0.8622298992407977,7,20
Standard,0.0,0.8,0.4,0.87583907126566,0.9527141541480187,0.18375795834099096,0.6528845446173472,3,0.3712688606285922,3,0.8055021864640292,7,0.8531374336129943,7,20
Standard,0.0,0.8,0.8,0.8768605493282026,0.9527141541480187,0.08161015208673073,0.5971416897588913,2,0.339488494237004,1,0.797643028127373,5,0.8450854439165949,7,15
Standard,0.0,1.0,0.0,0.8693589009112233,0.9527141541480187,0.8317749937846619,0.755851237034047,3,0.45791292609530715,3,0.8346767619661357,7,0.875755098678321,7,20
Standard,0.0,1.0,0.4,0.8735475014322311,0.9527141541480187,0.4129149416838729,0.681403558603819,3,0.40713713773483434,3,0.8208238586089436,7,0.8628318334171482,7,20
Standard,0.0,1.0,0.8,0.875703955119821,0.9527141541480187,0.19726957292488523,0.6134102613210759,1,0.36934983488908363,3,0.8112533922729168,7,0.8544319395566776,7,18
Standard,0.4,0.0,0.0,0.8716342568071515,0.9527141541480187,0.604239404191842,0.7215844907640048,3,0.40131914179034456,3,0.8081734008615687,7,0.8613686246353224,7,20
Standard,0.4,0.0,0.4,0.8737799012030741,0.9527141541480187,0.3896749645995734,0.6674610302781177,3,0.3660055127878864,1,0.799403229318709,6,0.8525280331758691,7,17
Standard,0.4,0.0,0.8,0.8752715834531363,0.9527141541480187,0.24050673959336022,0.6141835333982885,4,0.33477561886077695,1,0.7915571683046602,5,0.8450382925837242,7,17
Standard,0.4,0.4,0.0,0.863705641369321,0.9527141541480187,1.397100947974883,0.7708964557319509,3,0.4969154786934031,3,0.8464023207642722,7,0.8878002862518519,7,20
Standard,0.4,0.4,0.4,0.8688832920778702,0.9527141541480187,0.8793358771199689,0.698608531170714,3,0.43948172510281713,3,0.8304735550711667,7,0.8713239498028472,7,20
Standard,0.4,0.4,0.8,0.8718612519321609,0.9527141541480187,0.5815398916908965,0.6247090827823245,3,0.3961439123122074,1,0.8196789341182914,7,0.8602748274059959,7,18
Standard,0.4,0.8,0.0,0.8459567844519149,0.9527141541480187,3.171986639715496,0.8886387867945872,4,0.6736714415875389,1,0.9136098142292866,6,0.9310483051253443,7,18
Standard,0.4,0.8,0.4,0.8573551825148898,0.9527141541480187,2.0321468334180026,0.7694042019488301,3,0.5595691828552637,3,0.8771979322699379,7,0.9023750481443171,7,20
Standard,0.4,0.8,0.8,0.8639002086193291,0.9527141541480187,1.3776442229740726,0.6979979053734117,3,0.4891732356933785,3,0.8579411128825942,7,0.8868436996591232,7,20
Standard,0.4,1.0,0.0,0.8207170884091965,0.9527141541480187,5.695956243987332,0.9575178972497919,4,0.8071967240432302,3,0.9991945430548926,5,0.997283535791181,6,18
Standard,0.4,1.0,0.4,0.8469836671602909,0.9527141541480187,3.069298368877893,0.868669336452091,4,0.6618165059580466,1,0.9163333157212643,6,0.9300364313585299,7,18
Standard,0.4,1.0,0.8,0.8573119453482213,0.9527141541480187,2.036470550084857,0.8169994352559453,4,0.5546398903125761,3,0.8827968681487376,7,0.903044497818026,7,21
Standard,0.8,0.0,0.0,0.8463134910769298,0.9527141541480187,3.1363159772140103,0.8453610806138897,5,0.6323098030859182,1,0.8869315877759367,7,0.9199902332179757,7,20
Standard,0.8,0.0,0.4,0.8553554635564732,0.9527141541480187,2.232118729259669,0.77387150224523,3,0.5423859625830977,1,0.8622823079253495,7,0.9001935466903361,7,18
Standard,0.8,0.0,0.8,0.8611762671192157,0.9527141541480187,1.6500383729854184,0.6882080389204216,3,0.476734902335165,1,0.8442935390191236,7,0.8849853077441499,7,18
Standard,0.8,0.4,0.0,0.796423205387351,0.9527141541480187,8.125344546171887,0.9460533191172216,3,0.8370739459685217,3,0.9458424757975099,5,0.957391285101137,6,17
Standard,0.8,0.4,0.4,0.8333045085555544,0.9527141541480187,4.437214229351549,0.8905121534738967,4,0.7578137762549041,1,0.938501651918266,6,0.9540144955365576,7,18
Standard,0.8,0.4,0.8,0.8472376855144682,0.9527141541480187,3.0438965334601664,0.8168841638534792,4,0.6176635256727764,1,0.8979319722540986,7,0.9208810657006713,7,19
Standard,0.8,0.8,0.0,0.7698647757612443,0.9527141541480187,10.781187508782553,0.947722061876584,3,0.7299434067757911,1,0.8868718794785148,5,0.9485424677616089,6,15
Standard,0.8,0.8,0.4,0.7814415271367268,0.9527141541480187,9.62351237123431,0.9070147997406556,4,0.7830689027066421,1,0.9007311296531153,5,0.9469459710788302,6,16
Standard,0.8,0.8,0.8,0.8054867964502286,0.9527141541480187,7.218985439884129,0.8597721661885445,4,0.947807438014892,3,0.961018218397191,5,0.9578537471932539,6,18
Standard,0.8,1.0,0.0,0.7600985807400041,0.9527141541480187,11.757807010906573,0.8920854168040995,3,0.6869486247646893,1,0.8713185671390439,5,0.9368401689707294,6,15
