Fold,Acc,AUC,DI_RACE,DI_SEX,DI_ETHNICITY,DI_AGE_GROUP
1,0.86087901159837,0.9403440915769159,0.632129469504478,0.7507277718403329,0.8179091311832766,0.542595470847552
2,0.8603169284316798,0.9403901056095335,0.7229396812205097,0.7543972129995854,0.8203249602038244,0.544788121658567
3,0.8614519040567271,0.9409579006579514,0.6341856196131234,0.7498331093140947,0.8194546153783636,0.5423097826023142
4,0.8616410666609017,0.9411391713542153,0.6522204387372927,0.7498821091262167,0.8193885383551499,0.5425595501999979
5,0.860706062931696,0.9403861081447642,0.6455719051462991,0.7507643063969202,0.8284217124355626,0.543702925039705
6,0.8613492157858895,0.9407027385181277,0.6305376541350728,0.7484928997597164,0.8172792361314377,0.5387286500037596
7,0.8614573087025608,0.9409920905043676,0.6373355639650697,0.7510646478800077,0.8257994142563339,0.5413062908600688
8,0.8620842476192535,0.9411704452001188,0.6244852778285185,0.7500912173663589,0.8210645347431945,0.5397250140133472
9,0.8601818122858409,0.9402112069956711,0.659649450914816,0.7507391054398453,0.8180926323443775,0.5401254926187407
10,0.8618518478484105,0.9408074434330356,0.6400901630362582,0.7512837694489523,0.8204120690599767,0.5446363388741884
11,0.8605763514316906,0.9407260056345551,0.6372277549809372,0.7513888816600808,0.8173415760238134,0.5452479366605493
12,0.8616410666609017,0.941041730421728,0.6517749329731278,0.7513045098412409,0.8193226592722955,0.5399675573625625
13,0.8612735507442197,0.9406827869480912,0.6294756375556241,0.7500059336942215,0.8226452946131982,0.5422575571847444
14,0.8615816155567325,0.9409806136493217,0.634311107017867,0.751385667873222,0.8192062126113764,0.5416857627724931
15,0.8608627976608693,0.9403272685242637,0.6499117188903031,0.7547871116623833,0.8246938303362576,0.5426950663993899
16,0.861673494535903,0.9409530892335051,0.6365078554404396,0.7504949953684377,0.8187498811395251,0.5398089356836733
17,0.8616897084734038,0.9408657719392506,0.6465419726810551,0.7506819677825589,0.8159921561075708,0.5432016335448022
18,0.8610681742025446,0.9404946711671816,0.632770171597262,0.7505275748208367,0.8163535921072904,0.5394469150732368
19,0.8615383783900641,0.9405850884819716,0.6428642384589688,0.7516770653834295,0.8134349666543605,0.5438837400172596
20,0.8610843881400452,0.940681670261022,0.6244803907598129,0.7482613147794219,0.8251485409981422,0.5385386559723034
