Lambda,Accuracy,AUC,DI,SPD,EOPP,EOD,TI,PP,CAL
0.5,0.8735637153697319,0.950102219730107,0.668603502671092,0.16846692109799066,0.017646474467902684,0.030037344665296353,0.006513938928902875,0.0760177558902021,0.10716455999542684
1.0,0.873806924432242,0.9500686092016138,0.7107237826916235,0.14634296611554976,0.02757369395225928,0.02757369395225928,0.006003271650694288,0.09964621383459926,0.15563528957190337
2.0,0.8737366640364057,0.9498263701171552,0.7207049850203348,0.1404253032873452,0.0440578546836099,0.0440578546836099,0.0056933661159977375,0.09060148248741018,0.18124414767537797
5.0,0.8713802384529742,0.948814271969449,0.8461601927248322,0.07530917209472182,0.08363988030462066,0.09010255884263657,0.014732852614924692,0.2019377343952452,0.273827794619969
10.0,0.8662944667235956,0.9454819195767058,0.888897190619187,0.05492723160399743,0.11350439923047873,0.17711712715333283,0.03689765343878287,0.2809034233617118,0.4003094752629598
