Method,Delta Acc (pp),Delta F1 (pp),Delta AUC (pp),Avg Delta DI,Avg Delta |SPD|,Avg Delta |EOPP|,Delta Fair Verdicts,Fairness Gain per 1pp Acc
Fair (Ours),-5.28,-6.18,-0.71,0.26,0.155,-0.003,2,0.38
AFCE-XGB,-0.32,-0.36,-0.22,-0.001,-0.001,0.003,1,3.14
AFCE-LGBM,-0.11,-0.11,-0.09,-0.002,-0.002,-0.001,0,0.0
XGBoost,-0.18,-0.18,-0.12,-0.001,-0.001,0.003,1,5.66
