Fold,Acc,AUC,Train_Hospitals,Val_Hospitals,DI_RACE,DI_SEX,DI_ETHNICITY,DI_AGE_GROUP
1,0.8630624885151276,0.9418623512813779,351,88,0.6376694241981806,0.7523322341565496,0.8245799393407635,0.5513849391531166
2,0.8603169284316798,0.9399481885165728,351,88,0.6349642457663727,0.761746212303224,0.8279994002409101,0.5561446035431258
3,0.8621436987234227,0.9409447695106913,351,88,0.7469007773515733,0.7615983495396963,0.8383572339116716,0.552960388929452
4,0.8631273442651303,0.9418049767410963,351,88,0.6502564228082401,0.7540019759142365,0.823625209416027,0.5499047908356467
5,0.8632570557651357,0.9421735942163543,352,87,0.6611338323810086,0.7496666500618266,0.8227173786760016,0.5458496371185921
