Model,Accuracy,AUC,F1,DI_RACE,SPD_RACE,EOPP_RACE,EOD_RACE,TI_RACE,PP_RACE,CAL_RACE,DI_SEX,SPD_SEX,EOPP_SEX,EOD_SEX,TI_SEX,PP_SEX,CAL_SEX,DI_ETHNICITY,SPD_ETHNICITY,EOPP_ETHNICITY,EOD_ETHNICITY,TI_ETHNICITY,PP_ETHNICITY,CAL_ETHNICITY,DI_AGE_GROUP,SPD_AGE_GROUP,EOPP_AGE_GROUP,EOD_AGE_GROUP,TI_AGE_GROUP,PP_AGE_GROUP,CAL_AGE_GROUP,Fair_Verdicts,CFS
LGB-XGB Blend,0.8776820554949034,0.9526766115264091,0.8627282101049312,0.6516991628111919,0.17639863651071708,0.053807034389558694,0.053807034389558694,0.005168767995596658,0.09487765503981427,0.22852900639042534,0.7624687208507648,0.12318874203442132,0.03464888698409718,0.048415056543034435,0.0046488481208385515,0.004116934023151497,0.028125472245618566,0.8302422954888196,0.07844369692425579,0.01948820325654199,0.02871465200800219,0.0025121823576243485,0.0016699363215930685,0.03434620595113402,0.29138627937143763,0.4355371865527158,0.18273162832475776,0.18273162832475776,0.013858642673341352,0.06856385199430381,0.071626611210027,18,0.6428571428571429
LightGBM,0.8774604650157275,0.9525226214592566,0.8625087171401716,0.6728322769614905,0.1652718949764933,0.059034816316369754,0.059034816316369754,0.005541756239472895,0.1187257187257188,0.2782361825064573,0.761330593090731,0.12393728431238255,0.03510455163853843,0.049535339789245486,0.004538277951156945,0.0032763787253156096,0.024248483129245768,0.8281501072813167,0.07949234311947728,0.021270499226346717,0.029295199982981746,0.002488571951348141,0.001314474636986196,0.0212135792716871,0.2910580494380842,0.43634693937761143,0.1845178281292077,0.1845178281292077,0.01389490655223747,0.07247304416326128,0.0672685167089917,17,0.6071428571428571
AFCE-LightGBM,0.8765362705781891,0.9517816901193725,0.861581715504496,0.6158024509383198,0.19978737018690373,0.06981551429665023,0.06981551429665023,0.003563435823533495,0.06423377440612488,0.16774121614714577,0.789032612990338,0.10750621697836621,0.017478030773943942,0.03421166753485334,0.004620758845155962,0.016504822318692658,0.019212966416657817,0.8363202669899579,0.07565704343557689,0.01729418915530423,0.025746459685602754,0.003001896261247375,0.005747714081565269,0.0208012388788964,0.29205433767758576,0.4363944638029461,0.1829514902107494,0.1829514902107494,0.013833725623440193,0.06815698677400805,0.07009337455523668,18,0.6428571428571429
XGBoost,0.87583907126566,0.9514422632700821,0.860800911310797,0.6490983425129728,0.1784279098581546,0.04028121909736704,0.04028121909736704,0.005425412289892545,0.07889702069847648,0.1744153077403704,0.763119071801028,0.12304346623395823,0.03390124997728117,0.04956850873943318,0.005007639449063982,0.0041294705615266825,0.022195454119766644,0.8316517964358102,0.07792018755685914,0.017783780706793095,0.029470661461813277,0.002782199714429459,0.0014053415083032927,0.031891003849710886,0.292592976597641,0.43537544052048627,0.1851346241083225,0.1851346241083225,0.014359952988656624,0.07340538342430825,0.041080584040785295,19,0.6785714285714286
AFCE-XGBoost,0.8744230540572676,0.9504718868097903,0.859069928246062,0.6217204344245612,0.19654662113616989,0.05484715895018866,0.05484715895018866,0.005869967832945772,0.05702104905665828,0.19691281393170357,0.7896003646653601,0.1069533288426805,0.017231682751326582,0.03430578238858786,0.005194991707992883,0.01691870741427537,0.018486860146291972,0.8352539508111062,0.07601749008103409,0.017908092145901278,0.026476057387058854,0.0029726421858219457,0.005334523630085575,0.014208964341157482,0.2912939228518247,0.43590679510597086,0.1867127817809514,0.1867127817809514,0.014301949009999253,0.06928266581843334,0.01828750967979431,19,0.6785714285714286
Stacking Ensemble,0.871504545307146,0.9483358391444249,0.8558033466966685,0.658874469578611,0.17233754291527453,0.045743900112832137,0.045743900112832137,0.006595630177393702,0.09308555617699377,0.30575322373883534,0.7565062807587786,0.12685874565452404,0.039111986222432726,0.05407156669161875,0.005878501061496268,0.0021040955103475145,0.09372728089003318,0.8273767513850534,0.07984236403016998,0.02286074380806813,0.03024459824505453,0.0036080710697990043,0.002317574524305255,0.0800038963408933,0.280056881482688,0.4455696797593964,0.20361403261456934,0.20361403261456934,0.01799768750727833,0.06562092276269382,0.09511473177939223,16,0.5714285714285714
GradientBoosting,0.8662674434944279,0.9440019570998458,0.8491973525432406,0.6456278569494839,0.17653580529842644,0.06783184453087365,0.06783184453087365,0.004201510712124802,0.09710915365290018,0.17439541640392686,0.750786352602007,0.12912258835900908,0.044638762481170824,0.05580618947635631,0.0028258989195631135,0.0017159723019285478,0.044254947455794835,0.8188926877007198,0.08315040678120761,0.03161998636638852,0.03161998636638852,0.0017862234874464547,0.002914269572741768,0.03182819584946378,0.2618590047772287,0.45733498625666735,0.24369248397375076,0.24369248397375076,0.011685236100924576,0.06991272519140168,0.0899556666680823,18,0.6428571428571429
HistGradientBoosting,0.8620626290359192,0.9414919214537455,0.8445978859174826,0.6424391182111624,0.1774450488010405,0.0729076748494224,0.0729076748494224,0.005195890918543784,0.09116190864569074,0.12015777471585978,0.7515160996425142,0.12891294799617137,0.04354690713291465,0.058163188290282164,0.0033053121037578126,0.001627109684215533,0.033557982329286085,0.8266932019113457,0.07953805801287978,0.028216099799165284,0.028316949521899087,0.0015092603425914466,0.007585031136375764,0.029197212576363096,0.26306259833270085,0.45691457302447314,0.2428116122759172,0.2428116122759172,0.01213812555729088,0.06776773757725085,0.0694935306132275,18,0.6428571428571429
Random Forest,0.856593127452358,0.9369992898372919,0.8383728863115832,0.6327925958812882,0.18256522854915447,0.08305933548652,0.08305933548652,0.0055805946879571855,0.08247394702561883,0.10507279403436443,0.749218067248665,0.13022712924252855,0.04617804168552542,0.060646293406846546,0.003074822118997178,0.002046700537876478,0.042431367252070445,0.8171910576794189,0.08406228754737927,0.035772818304605325,0.035772818304605325,0.000792913864775778,0.005878962280276068,0.041452455829548596,0.2578756276625752,0.4606360213426246,0.25730294174523916,0.25730294174523916,0.01244623071766491,0.07415411244344117,0.08312293834152251,18,0.6428571428571429
CatBoost,0.8538799952439117,0.9350095331339692,0.834735194875055,0.6102828352648194,0.19283099641056817,0.08574273622817319,0.08574273622817319,0.004949468606638807,0.05949308007630183,0.16938024504897664,0.7429783914014086,0.13314153420824265,0.05114056480145579,0.06303295441939949,0.0022898487224067843,0.00041364079341976723,0.03506610400773014,0.8202873167233634,0.08197638884876052,0.031616039299426246,0.032205372713722424,0.001359912820042851,0.004981091261225368,0.027087699485592864,0.24928562103145996,0.4647937753955911,0.2768508921745637,0.2768508921745637,0.011598962851756725,0.06901430297310474,0.06039234704423502,18,0.6428571428571429
