Frac,N,Accuracy,AUC,F1
0.01,7401,0.8302400743679267,0.9152718985573359,0.8096732754859663
0.02,14802,0.8430977268059624,0.9248546633578887,0.8232565218714804
0.05,37005,0.8527450196188644,0.9326870122389705,0.8346643040924316
0.1,74010,0.8590468366607936,0.938743634748006,0.8414146205017816
0.2,148020,0.861943726827581,0.9416612651863541,0.8447758291707684
0.4,296040,0.8647487380151979,0.9437964482113117,0.847717743849379
0.6,444061,0.8658458811194103,0.9446176426069155,0.8490531616010508
0.8,592081,0.865970187973582,0.944932888670631,0.8492452841658612
1.0,740102,0.8669916660361247,0.9452147756035182,0.8503478303171823
