race,n,VFR_scalar,RMFT_5000,final_no_flip_S
White,7214,0.07804269476018852,4817.310971528997,0.6749331333045598
Black,1946,0.19013360739979446,2459.437828968339,0.2707030359948766
Hispanic,4518,0.20053120849933598,3836.882552361426,0.15296014362047147
Asian/PI,734,0.0653950953678474,3336.9821364244845,0.620663271196829
Other,588,0.0663265306122449,3940.246208869858,0.7681011670851752
