model,RACE,ETHNICITY,SEX,AGE_GROUP
LR,0.6667,0.7746,0.7819,0.5471
RF,0.7922,0.8272,0.8349,0.6956
GB,0.7792,0.8169,0.8184,0.6731
XGBoost,0.8225,0.8377,0.8397,0.7273
LightGBM,0.8268,0.8376,0.8401,0.7247
DNN,0.7662,0.8119,0.8225,0.6725
