truth,predicted,flip_rate,aleatoric_share,epistemic_share
aleatoric,aleatoric,0.49526666666666663,0.9997260472273795,0.0002739527726206298
aleatoric,aleatoric,0.4673333333333334,0.9997195054092685,0.0002804945907314235
aleatoric,aleatoric,0.5023333333333333,0.9997171639154325,0.00028283608456753636
aleatoric,aleatoric,0.4891333333333333,0.999725039194626,0.00027496080537404375
aleatoric,aleatoric,0.4776,0.9997183201961817,0.0002816798038183127
aleatoric,aleatoric,0.4784666666666667,0.999712255213317,0.00028774478668304373
aleatoric,aleatoric,0.49906666666666666,0.9997161210008064,0.00028387899919358654
aleatoric,aleatoric,0.48766666666666664,0.9997159613857124,0.00028403861428762404
aleatoric,aleatoric,0.4892666666666666,0.9997233350632049,0.0002766649367951696
aleatoric,aleatoric,0.5132000000000001,0.9997205905473785,0.00027940945262155655
aleatoric,aleatoric,0.4738,0.9997130743274208,0.00028692567257917014
aleatoric,aleatoric,0.5012,0.9997189544397402,0.0002810455602598334
aleatoric,aleatoric,0.49713333333333337,0.999719125557758,0.00028087444224191276
aleatoric,aleatoric,0.4965333333333333,0.9997143458020001,0.0002856541980000394
aleatoric,aleatoric,0.4746,0.9997185680032983,0.0002814319967016124
aleatoric,aleatoric,0.47179999999999994,0.9997124369799395,0.000287563020060512
aleatoric,aleatoric,0.48619999999999997,0.99972078171825,0.0002792182817500332
aleatoric,aleatoric,0.4884666666666667,0.9997195461625367,0.0002804538374633998
aleatoric,aleatoric,0.4768,0.9997131978835588,0.0002868021164410792
aleatoric,aleatoric,0.5014666666666667,0.9997203187681879,0.00027968123181204183
aleatoric,aleatoric,0.5038,0.9997147441653427,0.0002852558346573065
aleatoric,aleatoric,0.4952,0.99971963663979,0.0002803633602099289
aleatoric,aleatoric,0.5314666666666666,0.999718034533579,0.0002819654664206824
aleatoric,aleatoric,0.4926,0.9997210379873707,0.0002789620126293651
aleatoric,aleatoric,0.5214000000000001,0.9997183020229208,0.00028169797707915296
