model,RACE,ETHNICITY,SEX,AGE_GROUP
LR,0.175,0.0533,0.0782,0.3558
RF,0.0876,0.0316,0.0384,0.2375
GB,0.0704,0.0257,0.0425,0.2582
XGBoost,0.0423,0.0207,0.0325,0.2084
LightGBM,0.0382,0.022,0.0336,0.2116
DNN,0.0919,0.0385,0.0438,0.2722
