model,RACE,ETHNICITY,SEX,AGE_GROUP
LR,0.5874,0.7821,0.6947,0.2159
RF,0.6197,0.8201,0.7576,0.2459
GB,0.6078,0.8252,0.7532,0.2328
XGBoost,0.6366,0.8289,0.762,0.2534
LightGBM,0.6422,0.8271,0.7619,0.2516
DNN,0.6048,0.8128,0.7535,0.2375
