model,RACE,ETHNICITY,SEX,AGE_GROUP
LR,0.8548,0.9859,0.9671,0.8416
RF,0.9241,0.9959,0.9973,0.9093
GB,0.936,0.9962,0.9974,0.93
XGBoost,0.9268,0.9983,0.9985,0.92
LightGBM,0.9234,0.9989,0.9973,0.9226
DNN,0.9193,0.9959,0.9957,0.899
