model,RACE,ETHNICITY,SEX,AGE_GROUP
LR,0.218,0.1091,0.1782,0.6097
RF,0.1965,0.086,0.1302,0.5977
GB,0.1967,0.0801,0.1276,0.5987
XGBoost,0.1844,0.079,0.1234,0.5763
LightGBM,0.1816,0.08,0.1235,0.5806
DNN,0.2056,0.0896,0.1327,0.6165
