threshold,accuracy,f1,di_race,wtpr_race
0.05,0.7262600931760942,0.7656625196056205,0.8096068356239968,0.9909580480021275
0.07,0.786689438241112,0.8055821010216446,0.7766929600213519,0.9769962103583538
0.09000000000000001,0.8128695426588696,0.8238573928615034,0.7463386564512868,0.965028920949405
0.11000000000000001,0.8290186244095424,0.8353732151034512,0.728982551319429,0.9523809523809523
0.13,0.8398495346599937,0.8431289506283948,0.7085632439648459,0.9307359307359307
0.15000000000000002,0.8479943359311665,0.8490265230204358,0.7094863507298854,0.9264069264069265
0.17000000000000004,0.8536638094105693,0.8530123883043983,0.7007066550193142,0.922077922077922
0.19,0.8583820652232659,0.8561973492851851,0.6909628718234437,0.9177489177489178
0.21000000000000002,0.8622409823484267,0.8587640119465177,0.6846802614997369,0.9090909090909091
0.23000000000000004,0.8654243187443926,0.860817654358252,0.6917554020949414,0.9090909090909091
0.25000000000000006,0.8679861208694994,0.8623995853848148,0.6835890421197556,0.9004329004329005
0.27,0.8701155513279215,0.8636745251979759,0.6615831107590777,0.8874458874458875
0.29000000000000004,0.8720125820155005,0.8647348789919518,0.6640212260770072,0.8874458874458875
0.31000000000000005,0.8736447850572352,0.8655598939614374,0.6625720332220902,0.8831168831168831
0.33,0.8749419000572892,0.8661301613565755,0.6538205302605604,0.8744588744588745
0.35000000000000003,0.8757309783489888,0.8661945192884036,0.6564305690818867,0.8744588744588745
0.37000000000000005,0.8764119637240172,0.8661629315743575,0.6498069876553225,0.8658008658008658
0.39000000000000007,0.8769956654740415,0.8660534044293777,0.6425839239972055,0.8484848484848485
0.4100000000000001,0.8776171997449007,0.8660181766543595,0.6429909042268593,0.8441558441558441
0.43000000000000005,0.8781198318074217,0.8658501038054051,0.6402494570784297,0.8354978354978355
0.45000000000000007,0.8784711337866029,0.865482172768605,0.6402167554010403,0.8311688311688312
0.4700000000000001,0.8786711056824447,0.8649838514696064,0.6326997565919864,0.8268398268398268
0.49000000000000005,0.878849458994952,0.8644903881030105,0.6351913104181903,0.8225108225108225
0.5100000000000001,0.8788332450574514,0.8638094948819974,0.6372356449932006,0.8225108225108225
0.5300000000000001,0.8785900359949412,0.8627649825890402,0.6347627632355454,0.8138528138528138
0.5500000000000002,0.8782063061407586,0.8616185744901657,0.6355071838113273,0.8051948051948052
0.5700000000000002,0.8777523158907397,0.8603791287815657,0.6301181749870248,0.8008658008658008
0.5900000000000002,0.8770767351615448,0.8588293712370431,0.6218577561303527,0.7965367965367965
0.6100000000000001,0.876768670349032,0.8576778792437284,0.6226575847721654,0.7965367965367965
0.6300000000000001,0.8758174526823257,0.8557418836366832,0.6274365936222753,0.7965367965367965
0.6500000000000001,0.874785165328116,0.8537022770614162,0.6223033707865169,0.7792207792207793
0.6700000000000002,0.873671808286403,0.8515672627514733,0.6235974566659245,0.7792207792207793
0.6900000000000002,0.8722720050155114,0.848972079677405,0.6100805397978708,0.7662337662337663
0.7100000000000002,0.8706235880362759,0.8459647632652536,0.5998785085658137,0.7402597402597403
0.7300000000000002,0.8686454876611935,0.8424723237665603,0.5929855746722847,0.7186147186147186
0.7500000000000002,0.8668349313069514,0.8391069551192054,0.5938835841240853,0.7056277056277056
0.7700000000000002,0.8643758174526823,0.8347665766774215,0.5948138960741519,0.696969696969697
0.7900000000000001,0.861527569098397,0.8298139451466984,0.5753336066753314,0.670995670995671
0.8100000000000002,0.8582685676607612,0.8240850059031877,0.574606613148776,0.6623376623376623
0.8300000000000002,0.854415055181434,0.8172982358566709,0.5841551961068747,0.658008658008658
0.8500000000000002,0.8493995438478916,0.808589268909237,0.5749266953837705,0.6363636363636364
0.8700000000000002,0.8431842011392994,0.7976850399191159,0.5704346226058925,0.6190476190476191
0.8900000000000002,0.8345691956806071,0.7824473869378878,0.5524527881838939,0.5757575757575758
0.9100000000000003,0.8221277009717554,0.7602724259751612,0.5436458277863571,0.5411255411255411
0.9300000000000002,0.8019089209084129,0.7231931123026961,0.5225977313926006,0.48917748917748916
0.9500000000000002,0.76328191713597,0.6463801580829814,0.5583777848802288,0.44155844155844154
