Model,Attribute,Metric,Mean,Std,Threshold,Margin,Margin_sigma,VFR,Pct_Fair,Verdict
CatBoost,SEX,SPD,0.138732,0.048636,0.1,0.0387,0.8,0.2,20.0,UNFAIR
CatBoost,SEX,EOPP,0.0596,0.037645,0.1,0.0404,1.1,0.2,80.0,FAIR
CatBoost,SEX,EOD,0.084801,0.032624,0.1,0.0152,0.5,0.3667,63.3,FAIR
CatBoost,SEX,TI,0.00887,0.006053,0.1,0.0911,15.1,0.0,100.0,FAIR
CatBoost,SEX,PP,0.041287,0.022912,0.1,0.0587,2.6,0.0,100.0,FAIR
CatBoost,SEX,CAL,0.270301,0.089728,0.05,0.2203,2.5,0.0,0.0,UNFAIR
CatBoost,ETHNICITY,DI,0.810036,0.104319,0.8,0.01,0.1,0.5,50.0,UNFAIR
CatBoost,ETHNICITY,SPD,0.089015,0.048242,0.1,0.011,0.2,0.4667,53.3,FAIR
CatBoost,ETHNICITY,EOPP,0.068902,0.066658,0.1,0.0311,0.5,0.2,80.0,FAIR
CatBoost,ETHNICITY,EOD,0.080418,0.060177,0.1,0.0196,0.3,0.2,80.0,FAIR
CatBoost,ETHNICITY,TI,0.010901,0.008897,0.1,0.0891,10.0,0.0,100.0,FAIR
CatBoost,ETHNICITY,PP,0.042999,0.043298,0.1,0.057,1.3,0.0667,93.3,FAIR
CatBoost,ETHNICITY,CAL,0.324226,0.132475,0.05,0.2742,2.1,0.0,0.0,UNFAIR
CatBoost,AGE_GROUP,DI,0.471478,0.047788,0.8,0.3285,6.9,0.0,0.0,UNFAIR
CatBoost,AGE_GROUP,SPD,0.334133,0.038297,0.1,0.2341,6.1,0.0,0.0,UNFAIR
CatBoost,AGE_GROUP,EOPP,0.153494,0.054382,0.1,0.0535,1.0,0.1,10.0,UNFAIR
CatBoost,AGE_GROUP,EOD,0.182953,0.038043,0.1,0.083,2.2,0.0,0.0,UNFAIR
CatBoost,AGE_GROUP,TI,0.008667,0.007482,0.1,0.0913,12.2,0.0,100.0,FAIR
CatBoost,AGE_GROUP,PP,0.043597,0.034887,0.1,0.0564,1.6,0.0667,93.3,FAIR
CatBoost,AGE_GROUP,CAL,0.27469,0.077321,0.05,0.2247,2.9,0.0,0.0,UNFAIR
DNN (PyTorch),RACE,DI,0.312808,0.299899,0.8,0.4872,1.6,0.0333,3.3,UNFAIR
DNN (PyTorch),RACE,SPD,0.420691,0.199924,0.1,0.3207,1.6,0.0,0.0,UNFAIR
