Threshold,Accuracy,F1,Precision,Recall,DI_RACE,DI_SEX,DI_ETHNICITY,DI_AGE_GROUP
0.1,0.775193756553133,0.7976375232915099,0.670829207616959,0.9835624985002279,0.7900716776443238,0.8021206319016437,0.8616410306781547,0.7019223873668504
0.15000000000000002,0.8092430253045518,0.8211108914805297,0.7108332236409108,0.9718882729825067,0.7682502015233521,0.7926111829915977,0.8562392057449,0.6688505249782124
0.20000000000000004,0.8323478862430145,0.8375184638109305,0.7432228915662651,0.9592181988337772,0.7446668625315294,0.7871842635169515,0.8512919959597021,0.6450269103761701
0.25000000000000006,0.8489077210770378,0.8492954253862492,0.7711049767022985,0.9451323398843375,0.7347806415191903,0.7824096784413971,0.8453396984135081,0.6256794722186106
0.30000000000000004,0.8603709748900155,0.8571159940490346,0.7950341148104447,0.929714683368128,0.7142252034237567,0.7769722580692877,0.8407130475781065,0.6107097614826342
0.3500000000000001,0.8688670781403695,0.8624788160810742,0.8173604769834023,0.912869243874931,0.7071629213483146,0.7742345159247271,0.8352617146798851,0.5952129057351571
0.40000000000000013,0.8741095845989212,0.8649501092899343,0.8368805466111678,0.8949679648693398,0.700167956944695,0.7720411501493346,0.834194333529642,0.582312218783524
0.45000000000000007,0.8769362143698723,0.8649482212547894,0.8552594538800788,0.8748590214287428,0.6702432350917452,0.7665613311097144,0.8312094728964782,0.5697315474517858
0.5000000000000001,0.8776009858074001,0.8626630523768807,0.872135368769542,0.8533942840688216,0.651643609221318,0.7612648534660794,0.8302202897277289,0.5584223735850364
0.5500000000000002,0.8759741874114989,0.8576797608563526,0.8876835781041389,0.8296378950399539,0.6460903299851954,0.758251418651194,0.8280233179473936,0.5453470394718776
0.6000000000000002,0.8728557067655357,0.8506624177135639,0.9031988460968147,0.8039018069253473,0.6304984072932113,0.7528701411671084,0.8236363278831738,0.5340185967756562
0.6500000000000001,0.8674510609319771,0.8405593587268153,0.9173300412924099,0.7756461017925276,0.630134272561323,0.746382351739731,0.8230774915601488,0.5217985091808273
0.7000000000000002,0.8595873012441495,0.8268023093025426,0.9303138502160345,0.7440189091258129,0.6179869029240252,0.7379427526186607,0.8224795379233796,0.5098124102789054
0.7500000000000002,0.8498211062229092,0.8095515513731726,0.9440670108860719,0.708588294579224,0.6032523230003076,0.7314016545148181,0.818737471647016,0.49586055645793853
0.8000000000000002,0.8357203852431551,0.7849471494672496,0.9564969997930892,0.6655748326254409,0.5744303182885502,0.7212316669947215,0.8196887411418682,0.4855007376314686
0.8500000000000002,0.8169176223882049,0.7511624661176938,0.9685907515107887,0.6134547548772586,0.552685584160576,0.707398250188996,0.8185809676398662,0.47430746535082813
0.9000000000000002,0.7917049495746544,0.703661555969059,0.9796394621906311,0.5490005519161087,0.5587660071346545,0.6971193309635383,0.8174242813827395,0.46448941090346757
