,DI,SPD,EOPP,EOD,TI,PP,CAL
DI,0.0,0.020833333333333332,0.4791666666666667,0.4583333333333333,0.7916666666666666,0.7291666666666666,0.3958333333333333
SPD,0.020833333333333332,0.0,0.4583333333333333,0.4375,0.7708333333333334,0.7083333333333334,0.4166666666666667
EOPP,0.4791666666666667,0.4583333333333333,0.0,0.020833333333333332,0.3125,0.2916666666666667,0.5
EOD,0.4583333333333333,0.4375,0.020833333333333332,0.0,0.3333333333333333,0.3125,0.4791666666666667
TI,0.7916666666666666,0.7708333333333334,0.3125,0.3333333333333333,0.0,0.0625,0.4791666666666667
PP,0.7291666666666666,0.7083333333333334,0.2916666666666667,0.3125,0.0625,0.0,0.4166666666666667
CAL,0.3958333333333333,0.4166666666666667,0.5,0.4791666666666667,0.4791666666666667,0.4166666666666667,0.0
