λ,Paper F1,Our F1,ΔF1,Paper DI,Our DI,ΔDI,Paper WTPR,Our WTPR,ΔWTPR
λ=0.5,0.550,0.862,+0.312,1.100,0.645,-0.455,0.780,0.831,+0.051
λ=1.0,0.130,0.862,+0.732,0.990,0.665,-0.325,0.730,0.827,+0.097
λ=1.2,0.450,0.862,+0.412,1.100,0.649,-0.451,0.780,0.818,+0.038
λ=1.5,0.240,0.862,+0.622,0.990,0.682,-0.308,0.150,0.840,+0.690
