Attribute,DI,SPD,EOPP,EOD,TI,PP,CAL
Race,0.884 ✓,0.053 ✓,0.079 ✓,0.079 ✓,0.006 ✓,0.196 ✗,0.169 ✗
Sex,0.933 ✓,0.030 ✓,0.002 ✓,0.076 ✓,0.004 ✓,0.137 ✗,0.058 ✗
Ethnicity,0.962 ✓,0.017 ✓,0.026 ✓,0.032 ✓,0.002 ✓,0.075 ✓,0.045 ✓
Age Group,0.801 ✓,0.092 ✓,0.192 ✗,0.192 ✗,0.013 ✓,0.443 ✗,0.257 ✗
