,DI,SPD,EOPP,EOD,TI,PP,CAL
DI,0.0,0.041666666666666664,0.5,0.4791666666666667,0.8125,0.75,0.2708333333333333
SPD,0.041666666666666664,0.0,0.4583333333333333,0.4375,0.7708333333333334,0.7083333333333334,0.2708333333333333
EOPP,0.5,0.4583333333333333,0.0,0.020833333333333332,0.3125,0.2916666666666667,0.3541666666666667
EOD,0.4791666666666667,0.4375,0.020833333333333332,0.0,0.3333333333333333,0.3125,0.3333333333333333
TI,0.8125,0.7708333333333334,0.3125,0.3333333333333333,0.0,0.0625,0.625
PP,0.75,0.7083333333333334,0.2916666666666667,0.3125,0.0625,0.0,0.5625
CAL,0.2708333333333333,0.2708333333333333,0.3541666666666667,0.3333333333333333,0.625,0.5625,0.0
