N,Rep,Acc,DI_RACE,DI_SEX,DI_ETHNICITY,DI_AGE_GROUP
500,0,0.864,0.0,0.7861591695501731,0.8388102460397708,0.5770379854886897
500,1,0.896,0.0,0.7000354987575435,0.77994227994228,0.4755668060752807
500,2,0.876,0.0,0.7644310631229235,0.842588446036722,0.5451100244498778
500,3,0.892,0.65,0.851449275362319,0.8314726209463051,0.6053343076360979
500,4,0.874,0.0,0.8839520608009355,0.773337754932847,0.59830290173498
500,5,0.886,0.3979591836734694,0.7939973711114356,0.848661184904069,0.6350290201433937
500,6,0.882,0.44155844155844154,0.8676814988290399,0.9682377049180328,0.5323717948717949
500,7,0.864,0.0,0.7989843098612901,0.8407655146785581,0.49016062860719006
500,8,0.868,0.0,0.760710693932283,0.9287657790267184,0.5506805022934055
500,9,0.858,0.6969696969696969,0.8262664289016578,0.8719225785552316,0.5500955500955501
1000,0,0.875,0.0,0.8176865507373982,0.7715281234444998,0.61840327759938
1000,1,0.888,0.29009433962264153,0.7439839572192514,0.8212201591511935,0.52087639520463
1000,2,0.879,0.538860103626943,0.7359784283513097,0.9003033367037412,0.5942140882661329
1000,3,0.889,0.0,0.7094025142426668,0.8168067226890757,0.5403119217552207
1000,4,0.888,0.0,0.7774940275146224,0.8341926729986432,0.539774921635725
1000,5,0.864,0.8313106796116505,0.8006329113924051,0.9464853467798614,0.6148741373902133
1000,6,0.875,0.6494252873563218,0.7140854828819214,0.7883468952613029,0.5935114503816793
1000,7,0.883,0.0,0.8359550561797753,0.8798782426968333,0.5797373358348968
1000,8,0.883,0.36,0.8143656020877346,0.7557239771040916,0.5566532633877453
1000,9,0.886,0.45833333333333337,0.8045602605863192,0.7731300957107408,0.529034556465978
2000,0,0.883,0.4066115702479339,0.7752976190476191,0.8229126515054178,0.5312604142914773
2000,1,0.882,0.42857142857142855,0.7060237197397471,0.8218339914642415,0.5367940550186642
2000,2,0.8685,0.588,0.8327815394840692,0.8292171682278807,0.5316455696202531
2000,3,0.8585,0.7682926829268293,0.7408171705406729,0.8687220104370998,0.6099066398521934
2000,4,0.8985,0.2669789227166276,0.7690867637215528,0.8056269181097333,0.5467681789931634
2000,5,0.887,0.4426078971533517,0.7255681877499035,0.8379980413380753,0.5254459197190474
2000,6,0.876,0.29813664596273287,0.7926966348619056,0.8121977747026894,0.5573242926963585
2000,7,0.891,0.6333333333333333,0.8307125307125307,0.8312955731975665,0.5643115942028987
2000,8,0.8755,0.38144329896907214,0.7895897889288503,0.8510683393481125,0.5588581814945202
2000,9,0.8885,0.5954198473282443,0.7604564654173009,0.8556056419950561,0.5501950873459254
5000,0,0.8828,0.7064975522919448,0.7900855306234222,0.8134542722672736,0.5418331126417341
5000,1,0.8698,0.68578125,0.7716486338892202,0.8447479423364879,0.5817269327246501
5000,2,0.8806,0.45413769903565826,0.7522478423163728,0.8595281547242734,0.5674206857305448
