Method,Acc Loss (pp),F1 Loss (pp),DI Gain (Race),DI Gain (Sex),DI Gain (Ethnic.),DI Gain (Age),Avg DI Gain,Verdict Gain,DI/pp Acc
Fair (Ours),5.28,6.19,0.23,0.171,0.13,0.51,0.26,2,0.049
AFCE-XGBoost,0.33,0.36,-0.033,0.027,0.003,-0.0,-0.001,1,-0.002
AFCE-LightGBM,0.12,0.12,-0.038,0.028,0.005,0.0,-0.001,0,-0.01
XGBoost,0.18,0.19,-0.005,0.001,-0.0,0.001,-0.001,1,-0.004
