Threshold,Accuracy,F1,Precision,Recall,DI_RACE,SPD_RACE,EOPP_RACE,EOD_RACE,TI_RACE,PP_RACE,CAL_RACE,DI_SEX,SPD_SEX,EOPP_SEX,EOD_SEX,TI_SEX,PP_SEX,CAL_SEX,DI_ETHNICITY,SPD_ETHNICITY,EOPP_ETHNICITY,EOD_ETHNICITY,TI_ETHNICITY,PP_ETHNICITY,CAL_ETHNICITY,DI_AGE_GROUP,SPD_AGE_GROUP,EOPP_AGE_GROUP,EOD_AGE_GROUP,TI_AGE_GROUP,PP_AGE_GROUP,CAL_AGE_GROUP
0.1,0.7750586404072941,0.7974932367995952,0.6707590564586096,0.983274542269575,0.7904509044650567,0.1507946451051725,0.005436111327900561,0.07581887788094216,0.005030839755385,0.1552918571258205,0.19161130567604728,0.8022920627009696,0.1492373975002098,0.007350760270095846,0.15853710515493707,0.0046629915690038215,0.015196914218124524,0.025500078717358265,0.8609417619849808,0.09545970461092657,0.005503302787080888,0.08820538601452538,0.0025047816462097985,0.013913961555394594,0.035817994105511564,0.45030303293289625,0.4540574041989434,0.04320297987930832,0.3480310999836789,0.015685291621209844,0.20205611664368783,0.07199886062161076
0.15000000000000002,0.8091727649087155,0.8210223240536102,0.7108224348284035,0.9716603076332397,0.7604512668451652,0.16237103587054758,0.008268969190259212,0.06719320226648018,0.005030839755385,0.14103121512972328,0.19161130567604728,0.7930518255330151,0.14664763716742912,0.011006762053703989,0.13747617156098507,0.0046629915690038215,0.010587863479142978,0.025500078717358265,0.8544115239870401,0.0933692081897155,0.008734139400619845,0.0748920490817544,0.0025047816462097985,0.011781470900831814,0.035817994105511564,0.40981462810656905,0.4660564840201733,0.06457177247515411,0.3198472773760201,0.015685291621209844,0.16965653060885177,0.07199886062161076
0.20000000000000004,0.8323208630138467,0.8374948275952377,0.7431928679662735,0.9592062006575001,0.746549931462333,0.1630721005720096,0.00870330307649192,0.057973923030353425,0.005030839755385,0.13789545890853383,0.19161130567604728,0.7877320158121308,0.14257458593374117,0.014938215662881782,0.11753496798300303,0.0046629915690038215,0.009212836869449958,0.025500078717358265,0.8521211380890605,0.08960324008264742,0.010399053644827072,0.06229086637089373,0.0025047816462097985,0.011711881994125761,0.035817994105511564,0.3824768798636086,0.4686954374771453,0.08425930444180585,0.28896907775093084,0.015685291621209844,0.14613710144854364,0.07199886062161076
0.25000000000000006,0.8488266513895344,0.849226755499496,0.7709917687014907,0.9451323398843375,0.7347806415191903,0.16273184678428332,0.009907623128882825,0.05131816751937893,0.005030839755385,0.13075694292364015,0.19161130567604728,0.7824842465914267,0.13930009798558862,0.01823506409581299,0.102342449480191,0.0046629915690038215,0.007260868261528275,0.025500078717358265,0.8459885755508414,0.08878996138601608,0.012605553462057606,0.05591767587476498,0.0025047816462097985,0.008542775995867502,0.035817994105511564,0.3605772523129361,0.46788151488952157,0.10201290774989114,0.2600687577794699,0.015685291621209844,0.12504582754066607,0.07199886062161076
0.30000000000000004,0.8602034308691752,0.8569310928460016,0.7949265249158526,0.9294267271374751,0.7139630639524862,0.1682432183314745,0.011687794462127199,0.04434412874965871,0.005030839755385,0.11497622184791267,0.19161130567604728,0.7770615646264514,0.13671748094157565,0.021311391100890864,0.0907297311300495,0.0046629915690038215,0.004836359831164261,0.025500078717358265,0.8408118256381774,0.08766179201023766,0.01474965292626318,0.05023288579688967,0.0025047816462097985,0.005970742533662032,0.035817994105511564,0.3427264487339596,0.4643971548717946,0.11993584078393527,0.23335258994840152,0.015685291621209844,0.10816272617491618,0.07199886062161076
0.3500000000000001,0.8690454314528769,0.8626588520706034,0.8175684386952597,0.9130132219902575,0.7127778964452931,0.1624297358645806,0.01592258873812269,0.040328121104925146,0.005030839755385,0.12241356102455725,0.19161130567604728,0.7745794616216956,0.13227962767466356,0.02359872669561458,0.07724452821591535,0.0046629915690038215,0.004734857866513509,0.025500078717358265,0.8356142625646663,0.08659151351700012,0.01765857071012855,0.04468374879421616,0.0025047816462097985,0.00394250876845037,0.035817994105511564,0.32755794746604106,0.45883093890802784,0.13697606590145506,0.20571253738497688,0.015685291621209844,0.09636552858525593,0.07199886062161076
0.40000000000000013,0.873855566244744,0.8647003582484087,0.836507402422611,0.894859981282845,0.7019644270249099,0.1627929723979044,0.035023229197986505,0.03736764258887125,0.005030839755385,0.12619772923306238,0.19161130567604728,0.7718442109934821,0.1285114305931957,0.02595097826354331,0.06661599758465538,0.0046629915690038215,0.0045119417927842465,0.025500078717358265,0.8335807809860666,0.08402342267604612,0.018990218895207023,0.03862606160097662,0.0025047816462097985,0.0035865161036088278,0.035817994105511564,0.3155743731980834,0.4519791875106996,0.1512662860488948,0.1829986151735853,0.015685291621209844,0.08885404289479426,0.07199886062161076
0.45000000000000007,0.8771578048490483,0.8652113837048634,0.8553956918891664,0.8752549612458906,0.673189832000465,0.17182191683132586,0.05456679243087004,0.05456679243087004,0.005030839755385,0.11639038468306762,0.19161130567604728,0.7670659932073957,0.12594014963514483,0.03081887464737254,0.05663458294168168,0.0046629915690038215,0.004590096580622149,0.025500078717358265,0.8314794529113548,0.08143177948628927,0.01977814566888203,0.03328804996089764,0.0025047816462097985,0.0027005362328081928,0.035817994105511564,0.30200031059598265,0.44530844880452036,0.1698779456761207,0.1698779456761207,0.015685291621209844,0.08084737986682256,0.07199886062161076
0.5000000000000001,0.8776766508490699,0.862706322679268,0.8724495429728237,0.8531783168958318,0.6544165607499193,0.1750373181573635,0.04885667182373199,0.04885667182373199,0.005030839755385,0.09419197866293716,0.19161130567604728,0.7621560583200926,0.12335089543153499,0.035053438162021555,0.04836476587169211,0.0046629915690038215,0.0041757339753409894,0.025500078717358265,0.8318995300145732,0.07762284936157182,0.01893774972020046,0.027698004141714458,0.0025047816462097985,0.0028415399031442856,0.035817994105511564,0.2914071258666016,0.4354350041166579,0.18409338690176047,0.18409338690176047,0.015685291621209844,0.0722234797930501,0.07199886062161076
0.5500000000000002,0.8760822803281701,0.8578373015873015,0.8876228603690302,0.8299858421519929,0.6374938599296769,0.17650281687202768,0.04289191641622914,0.04289191641622914,0.005030839755385,0.06907905692000327,0.19161130567604728,0.7582298015644777,0.1202455143708247,0.036895287558835976,0.0421463815924574,0.0046629915690038215,0.002633619987309266,0.025500078717358265,0.8277864425429736,0.07612789828904859,0.020218923433957703,0.025075001386252946,0.0025047816462097985,0.0004380927613574226,0.035817994105511564,0.28015483727343315,0.4269609311964608,0.19949881350632825,0.19949881350632825,0.015685291621209844,0.06241423987362904,0.07199886062161076
0.6000000000000002,0.8728124695988672,0.8506400776851846,0.9029819573390107,0.8040337868643966,0.6287060798606834,0.17252558907384508,0.050945817936109195,0.050945817936109195,0.005030839755385,0.059023558675110444,0.19161130567604728,0.7519643315677618,0.11802466547789597,0.04061840309781395,0.04061840309781395,0.0046629915690038215,0.0006261720211639954,0.025500078717358265,0.8242433410377829,0.07406001945507323,0.02275923032664684,0.02275923032664684,0.0025047816462097985,0.00018489770258356408,0.035817994105511564,0.26825052343258393,0.41723416010160824,0.21392719103722857,0.21392719103722857,0.015685291621209844,0.05039661462765721,0.07199886062161076
0.6500000000000001,0.867353777306973,0.8404921133186454,0.9169183647424172,0.7758260744366856,0.6201518236432647,0.168611851868382,0.05645163897591088,0.05645163897591088,0.005030839755385,0.06203736236251145,0.19161130567604728,0.7464671403971511,0.11511414880174153,0.045447909075791215,0.045447909075791215,0.0046629915690038215,0.0012438097543591153,0.025500078717358265,0.8226662054489887,0.07103937534632887,0.025524651761901995,0.025524651761901995,0.0025047816462097985,0.002709760798352834,0.035817994105511564,0.256040725116103,0.40693131107405567,0.23080767235786015,0.23080767235786015,0.015685291621209844,0.03866600395676789,0.07199886062161076
0.7000000000000002,0.8597332266816555,0.8269765395307906,0.9305486789395508,0.7441508890648622,0.6182408527505812,0.16044400238875017,0.04732484344134824,0.04732484344134824,0.005030839755385,0.05485314778513872,0.19161130567604728,0.737978775837243,0.11316422227594347,0.050878073166366056,0.050878073166366056,0.0046629915690038215,0.0003489011709194578,0.025500078717358265,0.8216728333439784,0.06753634403501019,0.025870220061920524,0.025870220061920524,0.0025047816462097985,0.0033910475437519683,0.035817994105511564,0.24515341663269063,0.3934078973424393,0.2432348823717584,0.2432348823717584,0.015685291621209844,0.031098675593410063,0.07199886062161076
0.7500000000000002,0.849945413077081,0.8097209276824388,0.944186938592846,0.7087802653996592,0.6032523230003076,0.15703060986383058,0.07447568612617161,0.07447568612617161,0.005030839755385,0.0649664076386528,0.19161130567604728,0.731922176814717,0.10918601567430297,0.05248607110871817,0.05248607110871817,0.0046629915690038215,0.0028226376040545453,0.025500078717358265,0.8185107543213914,0.06458003132188012,0.02728536823688421,0.02728536823688421,0.0025047816462097985,0.0033921767670328506,0.035817994105511564,0.23169652429521764,0.37993657273368997,0.255933100914314,0.255933100914314,0.015685291621209844,0.017385258168966633,0.07199886062161076
0.8000000000000002,0.8359744035973322,0.7853206855817046,0.9566895886114127,0.6660187651476975,0.5671535996865609,0.15971267808292608,0.08967731297828385,0.08967731297828385,0.005030839755385,0.040476568181354144,0.19161130567604728,0.7206293032220182,0.1064402642934636,0.05937925383989573,0.05937925383989573,0.0046629915690038215,0.0034421831104233247,0.025500078717358265,0.8191894608835418,0.059655150406508595,0.024958170028730353,0.024958170028730353,0.0025047816462097985,0.0032323581316549,0.035817994105511564,0.21791318965752599,0.3616391979566407,0.26973735927895887,0.26973735927895887,0.015685291621209844,0.014308007616675611,0.07199886062161076
0.8500000000000002,0.816977073492374,0.7513254710746229,0.9682957298606905,0.6137907038130204,0.5652243817497197,0.14692754043629133,0.08293001496884989,0.08293001496884989,0.005030839755385,0.033526480734110464,0.19161130567604728,0.707790885342708,0.10238279061887406,0.06571533064417867,0.06571533064417867,0.0046629915690038215,0.0037674467584182247,0.025500078717358265,0.8200758633475524,0.05403804065486864,0.022292022737740225,0.022292022737740225,0.0025047816462097985,0.003178496403378528,0.035817994105511564,0.20398193954813548,0.33819322450284417,0.274059644576016,0.274059644576016,0.015685291621209844,0.005979253895681325,0.07199886062161076
0.9000000000000002,0.7917265681579886,0.7036011506453151,0.9800934259021171,0.5487845847431191,0.5630194278679329,0.1318997961994422,0.0787141660928069,0.0787141660928069,0.005030839755385,0.034996589475724926,0.19161130567604728,0.6965079021544615,0.09476049083983876,0.06848169073421284,0.06848169073421284,0.0046629915690038215,0.002442859193858782,0.025500078717358265,0.8157161835060559,0.048951417493121624,0.022366287814101216,0.022366287814101216,0.0025047816462097985,0.00243261882275414,0.035817994105511564,0.19069505896723457,0.30632694210138134,0.27002066468947844,0.27002066468947844,0.015685291621209844,0.003961138073803938,0.07199886062161076
