Lambda,Accuracy,AUC,DI_RACE
0.5,0.8747203095781133,0.9507244599843642,0.6592124983787367
1.0,0.8747743560364489,0.9507014715824563,0.6848020384598302
2.0,0.8746284305989428,0.950339927402632,0.721069523562168
5.0,0.8730016322030417,0.9493518475553636,0.8511798573703129
10.0,0.8668565498902857,0.945971248935858,0.9249000821749522
