Fold,Accuracy,AUC,F1,Val_Size,Unique_Hospitals
1,0.8173,0.9029545063487641,0.8160213483711797,40000,86
2,0.82205,0.9155976107616031,0.8127236371290255,40000,86
3,0.842525,0.9224496840509087,0.8094964463934674,40000,86
4,0.8371,0.9196277292373596,0.8008192211285688,40000,86
5,0.8299,0.9140134221526528,0.8092193808882907,40000,86
