Attribute,Before_DI,After_DI,Before_Acc,After_Acc,Fair_Before,Fair_After
RACE,0.6432150938915209,0.9505809446920623,0.8786008452866084,0.8679807162236659,False,True
SEX,0.7606201768696805,0.9520691313540735,0.8786008452866084,0.8679807162236659,False,True
ETHNICITY,0.8262382436698908,0.9504721575635702,0.8786008452866084,0.8679807162236659,True,True
AGE_GROUP,0.5598299029936685,0.5542014439252793,0.8786008452866084,0.8679807162236659,False,False
