Lambda,Accuracy,AUC,F1,DI_RACE,SPD_RACE,EOPP_RACE,EOD_RACE,TI_RACE,PP_RACE,CAL_RACE,N_Fair_RACE,DI_SEX,SPD_SEX,EOPP_SEX,EOD_SEX,TI_SEX,PP_SEX,CAL_SEX,N_Fair_SEX,DI_ETHNICITY,SPD_ETHNICITY,EOPP_ETHNICITY,EOD_ETHNICITY,TI_ETHNICITY,PP_ETHNICITY,CAL_ETHNICITY,N_Fair_ETHNICITY,DI_AGE_GROUP,SPD_AGE_GROUP,EOPP_AGE_GROUP,EOD_AGE_GROUP,TI_AGE_GROUP,PP_AGE_GROUP,CAL_AGE_GROUP,N_Fair_AGE_GROUP,Total_Fair
0.0,0.8491887626603829,0.9308102740964018,0.8287846063224033,0.6431974821890459,0.17218521400513942,0.07319864601417991,0.07319864601417991,0.4853932584269664,0.0797427814148074,0.1581938350507502,3,0.7546481471251072,0.12501724258760177,0.04695157783869075,0.05326305221855353,0.4968,0.009866317906059185,0.023540869032906808,4,0.8328658212748051,0.07538031112192733,0.027838945554468864,0.027838945554468864,0.4918,0.014153653963834278,0.017697087491585273,6,0.25139354506846334,0.46188361133148487,0.2790554245261706,0.2790554245261706,0.48488,0.07689200112074768,0.04160228903900298,2,15
0.5,0.8442813442435118,0.9272356995521103,0.8220492866407263,0.6588325503853587,0.16509670460173997,0.07857837954925329,0.07857837954925329,0.49241573033707864,0.08871770321387806,0.18799950633729523,3,0.7831686484915898,0.10672360317637208,0.03414014819078881,0.03414014819078881,0.4932,0.028567005200375917,0.0301469403084762,4,0.8731199309853488,0.05581412229691335,0.00815778764779751,0.00815778764779751,0.489,0.03315760630936282,0.05296836972322844,5,0.3856500559923448,0.34800094636282686,0.10517643784417807,0.10517643784417807,0.48308,0.20380515267111543,0.16630074122974187,0,12
1.0,0.8314020732221418,0.9172147127499719,0.8069771614907216,0.6905863468983098,0.1510263524163295,0.08141373189916878,0.08141373189916878,0.4932584269662922,0.12141198584697033,0.1893846757405253,2,0.8213783704143258,0.08519493313900894,0.024882300492417686,0.024882300492417686,0.49,0.05897537413443077,0.04515677405033791,6,0.9256449366982084,0.03210640918874924,0.010055428299105884,0.0180363550941971,0.4848,0.06127096923490505,0.08432212643399822,5,0.5590506263108634,0.22864989090221927,0.06546399796660973,0.06546399796660973,0.48199999999999993,0.33023491725387677,0.28450484630657846,2,15
3.0,0.7208608519883692,0.8044229269086584,0.6846154785603498,0.7846783932929049,0.10906925823097618,0.10378775670793217,0.109315416471508,0.5022471910112359,0.15742212112924814,0.44711448600208553,0,0.9373636130288763,0.02786304351766944,0.01644508908238418,0.16068816290158738,0.4938,0.23547608204998982,0.30821504478025663,3,0.86823909358126,0.06332448819753711,0.05806605950520993,0.12091093324691055,0.492,0.14753300926492452,0.33339897591150036,3,0.565515578642787,0.2624526805603217,0.41702140026133583,0.4894130302606674,0.49948,0.6462099473942913,0.6381787335335166,0,6
5.0,0.6579615837774151,0.7253733540881016,0.607124233319262,0.7725837093150172,0.11301591061630123,0.15304815892491186,0.15304815892491186,0.5044943820224719,0.15250657211275354,0.43225316737412633,0,0.8516080499972121,0.06593438840855104,0.014140203082256386,0.20495936953675703,0.497,0.2801271128692654,0.4124780502269273,3,0.8075494380154096,0.09399216478976652,0.08175493465698858,0.14078431612820472,0.4946,0.1462787318837272,0.4232722493674331,3,0.3684646207226995,0.4188716497780185,0.5792731104207218,0.5792731104207218,0.5107600000000001,0.6872904846275505,0.6939899847027676,0,6
10.0,0.6220639261509193,0.6913285149776036,0.5704351672113424,0.7698426319284652,0.11687236327832651,0.214913563362906,0.214913563362906,0.5028089887640449,0.17504669959895308,0.5119041514928209,0,0.8327592338137163,0.07649745337680236,0.01252472170932828,0.20903009537168982,0.5036,0.27437194420589334,0.48370192386490984,3,0.7869966593773574,0.10818723568191924,0.09497369484514939,0.14707072699554757,0.4966,0.13440866902064613,0.49772217389158707,1,0.3126224019339188,0.4725664570289496,0.6333972250687226,0.6333972250687226,0.52052,0.6974953507059831,0.7503004151318524,0,4
15.0,0.5969052997957044,0.6716968565231272,0.5457712382077626,0.7277387037888675,0.1483671108566284,0.23556458309854367,0.23556458309854367,0.5056179775280899,0.17852510669940325,0.6071092991902415,0,0.82227183009302,0.08307672922921838,0.009003087230977425,0.2081397907359282,0.507,0.26481898754580285,0.5307305418142448,3,0.7766232820074156,0.116506426501638,0.09989308576426081,0.15181130568211054,0.5022,0.12711016200311548,0.5339998531190757,1,0.24916336629749897,0.5981026764907142,0.6639289299079891,0.6663126429638018,0.52644,0.7027861274836504,0.7742995287582605,0,4
30.0,0.5829072670867878,0.6578554530993743,0.521861427606674,0.6860138386707395,0.1746327526494202,0.250854475489238,0.250854475489238,0.5042134831460674,0.18726802912849422,0.6091755582907958,0,0.7985951849358005,0.09174281275751739,0.005239567537271617,0.21487976368334236,0.4978,0.2725174039966506,0.5494626972617259,2,0.7622733000655241,0.12121368893134521,0.10180865522628829,0.15469635784847335,0.5034,0.12598467963006954,0.5468701473678165,0,0.21168631074727565,0.6721540390689098,0.6977783088112827,0.7570887089344414,0.5340800000000001,0.7015890126447974,0.792069066002953,0,2
50.0,0.5789997081491249,0.6538629765765769,0.5162279993541095,0.6520571414924363,0.2023150890760272,0.24453144404812227,0.24453144404812227,0.500561797752809,0.20757945698725627,0.6134445714606658,0,0.7923219123945867,0.09436819419469517,0.0016156866408276183,0.21488850791798841,0.4982,0.27096165759762103,0.5535007389300814,2,0.7560830341487543,0.12443259825986802,0.10313151071988569,0.15827342686536833,0.4986,0.12659686453325997,0.5514057024616388,0,0.20164344688147562,0.7086280165256357,0.7027858090524133,0.8136582101319698,0.53696,0.7039723074267279,0.7955620610026758,0,2
100.0,0.5730654070238778,0.6509274407953248,0.508664336273278,0.6463427762274244,0.20663118692330257,0.24801980268642054,0.24801980268642054,0.4988764044943821,0.20433775496600454,0.6450157572751721,0,0.79003345762584,0.0951948196008029,0.0003751270862670797,0.21276334099141928,0.4966,0.2677615673447181,0.5485101501735192,2,0.7516933093477391,0.12676508835248823,0.10330099467028353,0.16066346742173937,0.5032,0.12614583838935556,0.5445964483695314,0,0.19107735849629237,0.7382217761644609,0.7118493205381782,0.8543825408036896,0.5391600000000001,0.7070534386751941,0.7989986332023263,0,2
