Lambda,Accuracy,AUC,DI,SPD,EOPP,EOD,TI,PP,CAL
0.5,0.8747203095781133,0.9507244599843642,0.6592124983787367,0.17207848674326126,0.01908507299409634,0.02745663978466295,0.005185688255158624,0.07104554400434393,0.21303061370191903
1.0,0.8747743560364489,0.9507014715824563,0.6848020384598302,0.1583814980529552,0.014694043820257519,0.024124609750596507,0.005913715200381857,0.0960733838130543,0.10774866193532943
2.0,0.8746284305989428,0.950339927402632,0.721069523562168,0.13962782020725462,0.017258974337458155,0.025840506801522223,0.004937183297167663,0.1180390501191747,0.25582828053406304
5.0,0.8730016322030417,0.9493518475553636,0.8511798573703129,0.0722479031012565,0.05680419913062529,0.08482923128107778,0.014692857929457154,0.20355601065312912,0.3850486237427284
10.0,0.8668565498902857,0.945971248935858,0.9249000821749522,0.03586232030971381,0.11660542874940627,0.16076512093890805,0.036294876387582505,0.26712714577912,0.41628390426437056
