Hospital,N,Accuracy,Selection_Rate,DI_RACE,DI_SEX
102,1931,0.8586224754013465,0.48265147591921287,0.7727593507410022,0.6989863492015712
105,930,0.9064516129032258,0.7258064516129032,0.9004689942678479,0.9207413394070755
112,169,0.8579881656804734,0.5502958579881657,0.5298507462686567,0.8873949579831933
1000,1756,0.8536446469248291,0.41287015945330297,0.3222222222222222,0.7563381997250691
2001,1001,0.8471528471528471,0.3856143856143856,0.5588235294117647,0.9830698369226939
6000,151,0.9072847682119205,0.2847682119205298,0.5580286168521463,0.6205559146735617
7000,1820,0.9032967032967033,0.16483516483516483,0.1451990632318501,0.0
15001,558,0.8835125448028673,0.43010752688172044,0.43243243243243246,0.8881476401271899
19000,549,0.8652094717668488,0.5974499089253188,0.0,0.8843122085851088
20000,243,0.8847736625514403,0.32510288065843623,0.18076923076923077,0.48644520809469266
27000,953,0.8761804826862539,0.4281217208814271,0.5490196078431373,0.9194583626651207
29000,1503,0.886892880904857,0.4231536926147705,0.0,0.7991619754350052
30000,173,0.791907514450867,0.6820809248554913,0.8387799564270153,0.8641545893719806
34000,224,0.8660714285714286,0.3125,0.0,0.45534069981583797
35000,1005,0.8676616915422886,0.5174129353233831,0.5031605562579013,0.956817747179193
38001,108,0.8333333333333334,0.37962962962962965,0.4086021505376344,0.7482758620689656
40000,1118,0.8729874776386404,0.31753130590339895,0.7696693272519953,0.9080254777070065
42000,690,0.8840579710144928,0.32318840579710145,0.4907094594594595,0.4510705789056304
47000,731,0.8714090287277702,0.533515731874145,0.3216783216783217,0.9226438698915763
56000,526,0.8954372623574145,0.49619771863117873,,0.9560628375061364
58000,335,0.8985074626865671,0.573134328358209,0.6729776247848536,0.7221719457013575
61000,150,0.8933333333333333,0.5133333333333333,0.0,0.7499999999999999
63000,174,0.896551724137931,0.2413793103448276,,0.52
64000,762,0.8464566929133859,0.41732283464566927,0.0,0.6822786912473012
71000,610,0.8967213114754098,0.2180327868852459,0.0,0.3212199870214147
76000,982,0.860488798370672,0.5030549898167006,0.23943236714975846,0.8567195767195767
81001,525,0.8476190476190476,0.4666666666666667,0.7699868641572677,0.7074468085106382
85000,355,0.8760563380281691,0.6253521126760564,0.0,0.8691673370876911
91001,688,0.8793604651162791,0.40406976744186046,0.3492063492063492,0.8981662591687042
95002,713,0.8583450210378681,0.5357643758765779,0.8333333333333334,0.8932510429167382
95003,110,0.9727272727272728,0.03636363636363636,0.0,0.11320754716981132
108000,106,0.8301886792452831,0.6415094339622641,0.23333333333333336,0.9027149321266968
109000,434,0.9585253456221198,0.4447004608294931,0.43564356435643564,0.9180057161003493
114001,1850,0.8605405405405405,0.4578378378378378,0.6290322580645162,0.7212047691040276
117000,1733,0.9376803231390652,0.4829774956722447,0.0,0.8884713158791309
118000,3019,0.8688307386551838,0.5097714474991719,0.0,0.9560830050983
119000,999,0.8658658658658659,0.4794794794794795,0.7647058823529411,0.7844420910753827
121000,152,0.881578947368421,0.34210526315789475,0.5428571428571429,0.506268081002893
124000,3194,0.8641202254226675,0.5823418910457107,0.8152761827557478,0.9667697887774697
126000,202,0.8613861386138614,0.26732673267326734,0.6363636363636364,0.6145966709346992
129000,670,0.8582089552238806,0.5417910447761194,0.40384615384615385,0.9456602915868428
130000,1654,0.9171704957678356,0.28657799274486095,0.6502732240437159,0.39040643242647866
134001,1567,0.8895979578813018,0.3337587747287811,0.8004950495049504,0.5335720680393913
137000,229,0.8864628820960698,0.4585152838427948,0.6832298136645963,0.7115768463073852
140002,427,0.8079625292740047,0.6463700234192038,0.6430260047281324,0.9878048780487805
141000,202,0.905940594059406,0.4405940594059406,0.6493055555555556,0.6220657276995305
142000,1096,0.8631386861313869,0.5036496350364964,0.0,0.8064585518001667
143000,785,0.9235668789808917,0.4573248407643312,0.5221674876847291,0.8796481407437026
144000,902,0.8902439024390244,0.3137472283813747,0.72,0.4683001893939394
