Method,Accuracy,DI (Race),DI (Sex),DI (Ethnicity),DI (Age),Fair Verdicts,α_SR,α_TPR,α_PPV
Baseline (λ = 0),0.8755,0.622,0.811,0.856,0.371,21,0.0,1.0,0.8
λ = 1,0.8507,0.813,0.888,0.912,0.59,22,0.4,0.8,0.0
λ = 3,0.8392,0.861,0.909,0.933,0.58,20,0.4,0.8,0.0
λ = 8,0.8282,0.859,0.924,0.925,0.499,19,0.4,0.8,0.0
λ = 15,0.8278,0.712,0.821,0.886,0.422,17,0.0,1.0,0.0
λ = 25,0.8245,0.731,0.818,0.887,0.421,18,0.0,1.0,0.0
λ = 50,0.8295,0.89,0.804,0.887,0.258,17,1.0,0.8,0.0
