Method,Delta Acc (pp),Delta F1 (pp),Delta AUC (pp),Avg Delta DI,Avg Delta |SPD|,Avg Delta |EOPP|,Delta Fair Verdicts,Fairness Gain per 1pp Acc
Fair (Ours),-2.7,-3.21,-0.68,0.167,0.107,0.032,4,1.48
AFCE-XGB,-0.33,-0.37,-0.22,0.001,-0.0,0.003,1,3.07
AFCE-LGBM,-0.11,-0.11,-0.09,-0.001,-0.001,0.001,0,0.0
XGBoost,-0.18,-0.19,-0.12,0.0,-0.0,0.003,1,5.43
