N,Rep,DI_RACE,SPD_RACE,EOPP_RACE,EOD_RACE,TI_RACE,PP_RACE,CAL_RACE,DI_SEX,SPD_SEX,EOPP_SEX,EOD_SEX,TI_SEX,PP_SEX,CAL_SEX,DI_ETHNICITY,SPD_ETHNICITY,EOPP_ETHNICITY,EOD_ETHNICITY,TI_ETHNICITY,PP_ETHNICITY,CAL_ETHNICITY,DI_AGE_GROUP,SPD_AGE_GROUP,EOPP_AGE_GROUP,EOD_AGE_GROUP,TI_AGE_GROUP,PP_AGE_GROUP,CAL_AGE_GROUP
1000,0,0.641025641025641,0.1866666666666667,0.16666666666666663,0.1694915254237288,0.04800350551395863,0.15714285714285714,0.6021999994750538,0.7128066940859453,0.1495965131084352,0.06519640114110159,0.06519640114110159,0.013488639059456957,0.03590527119938891,0.16866901547230295,0.7822342927168549,0.09849154395793702,0.0010271903323263443,0.03934624697336561,0.005325129744738574,0.005991387380640312,0.26213508914830913,0.26037075447238783,0.477527619685303,0.2658730158730159,0.2658730158730159,0.04723468845278711,0.17948717948717952,0.6177233381998396
1000,1,0.5333333333333333,0.35,0.16666666666666663,0.21428571428571427,0.012087064633141756,0.375,0.5868221830664259,0.7060966257668713,0.16215358578379518,0.06749671019333936,0.07285475260935384,0.0006595186113738105,0.008161089238845176,0.2231392658378642,0.9619443556124081,0.017165524702488277,0.0095643939393939,0.014468966616205878,0.008245714504759395,0.011743317610062864,0.23690240804642204,0.28964108745145306,0.4410285191652116,0.2109158186864014,0.2109158186864014,0.025677200829968543,0.11315473810475807,0.7769192188549767
1000,2,0.0,0.47692307692307695,0.25526315789473686,0.25526315789473686,0.01619604805240149,0.13970588235294112,0.5027958162173878,0.8043702747556702,0.09187031296004439,0.0159567650702781,0.05033333333333333,0.0028849843154496596,0.019111545032950872,0.15472911079494228,0.7619080707361985,0.10455199629778422,0.0199184624344787,0.07937522835221045,0.016636932772659208,0.07352024922118383,0.2997112481291935,0.26464117338920906,0.43492719198595475,0.28260869565217384,0.28260869565217384,0.049438533837972136,0.19444444444444442,0.8303361486513979
1000,3,0.4678362573099415,0.25277777777777777,0.25,0.25,0.01816782720024794,0.24242424242424243,0.5103357658506553,0.7444985749320607,0.13417393271724187,0.049750957854406086,0.049750957854406086,0.009126972314134882,0.07296346528778508,0.27560198443840034,0.7793310551931242,0.10349684312773189,0.023990710085487033,0.06011976427349344,0.006523041612835463,0.04507337526205457,0.32790806687043283,0.2301097046413502,0.47998148089691384,0.2509259259259259,0.2509259259259259,0.031332392622133255,0.1768968456947997,0.4538509211367088
1000,4,0.0,0.5,0.07070707070707061,0.18181818181818182,0.019597149781220874,0.11525423728813555,0.8622354241299941,0.8166597205863699,0.08761842082474586,0.04687642498860012,0.04687642498860012,0.00691831011006179,0.002321424426027785,0.2531363735099149,0.830536912751678,0.07531692766592091,0.06129216695254436,0.06129216695254436,0.007776884367563401,0.07768065268065272,0.23506326482715612,0.30808823529411766,0.4210918854415274,0.23161764705882348,0.23161764705882348,0.0393908351799388,0.11639549436795993,0.5221679225444357
1000,5,0.0,0.5,0.08708708708708712,0.14285714285714285,0.0705102571867041,0.07592752372735123,0.8185176938680276,0.7357185097575399,0.13319226298691622,0.11018317820561851,0.11018317820561851,0.011836052669366388,0.015014809751651814,0.19022303146516661,0.9311475409836066,0.029577464788732355,0.018207941483803447,0.018207941483803447,0.003330486860180712,0.009242509892594786,0.16248346624944354,0.35277028429134677,0.38348360655737707,0.17725347852389595,0.17725347852389595,0.010133711604317426,0.196078431372549,0.5905158826097463
1000,6,0.0,0.5333333333333333,0.2432432432432432,0.2432432432432432,0.025487331135192207,0.15322580645161288,0.3472953790671154,0.7839506172839507,0.10802469135802467,0.0681960375391032,0.0681960375391032,0.008639995232180973,0.0012079455977093145,0.10259515434586486,0.712068591274148,0.13428899721095977,0.10994983277591974,0.10994983277591974,0.006413194201861129,0.004575163398692794,0.1469004615245053,0.2697047198325971,0.4247464503042596,0.3914053426248547,0.3914053426248547,0.03388216466403533,0.23363095238095233,0.7574071894441118
1000,7,0.7360959651035985,0.15052304212609563,0.2666666666666667,0.2666666666666667,0.03432241937185496,0.13090909090909086,0.6124695965690433,0.6632029155748321,0.18836331783572535,0.08657164291072772,0.08657164291072772,0.0016687911977071312,0.0037353580056437297,0.15747227155587917,0.8124937531234382,0.087536745835472,0.009116854288885312,0.045431514946799534,0.007579145849640027,0.020729029424681578,0.3251518590242641,0.27019540692989524,0.45633758463234136,0.2159420289855073,0.2159420289855073,0.035209927205476346,0.019841269841269882,0.7321664987620259
1000,8,0.0,0.5153846153846153,0.8837209302325582,0.8837209302325582,0.02068305715224141,0.15506329113924056,0.33691486781021807,0.8005784865540964,0.10773941505648821,0.04357443043574427,0.06900120752113162,0.0060017636496058,0.024978311162521694,0.18384055185414183,0.7063551197607764,0.15102881289247927,0.030678559212776624,0.08737603859555079,0.013593811046272754,0.04014329076540246,0.15862280906222237,0.3172161172161172,0.45098427361706805,0.23318450237649435,0.23318450237649435,0.010049384074867468,0.07398452611218564,0.6270758043119522
1000,9,0.0,0.5263157894736842,0.1694915254237288,0.1694915254237288,0.06398801605689824,0.14035087719298245,0.4336747865585342,0.8017174082747853,0.09609079445145019,0.013874788494077861,0.03042991177706203,0.010897660260226157,0.011251758087201025,0.19524305378718193,0.7104251754683718,0.13386380777388024,0.039436201780415514,0.07715717866093806,0.012349241004094444,0.06314806788250582,0.24663796227032203,0.22304832713754646,0.48379629629629634,0.249441170493802,0.249441170493802,0.012501058822201545,0.08823529411764697,0.8119801649019533
1000,10,0.5194805194805195,0.2883116883116883,0.20481927710843373,0.20481927710843373,0.029871207338763625,0.13523131672597866,0.6258459083197863,0.7978542605391366,0.10079132970332744,0.036701386041171125,0.06182726903217066,0.006486790024762684,0.029860882900646257,0.2890641152811718,0.6652583174484642,0.16161596994250366,0.08315724717147677,0.08315724717147677,0.0029235834486761245,0.0020496191379363315,0.1760385037724661,0.28783398184176395,0.4178691019786911,0.20331882034009696,0.20331882034009696,0.01988953694732585,0.15546218487394958,0.6801293668502818
1000,11,0.7166666666666667,0.13178294573643412,0.16666666666666663,0.16666666666666663,0.03759746501380805,0.20833333333333337,0.8758381457984743,0.7373597439948152,0.13954999978477123,0.029646748101683773,0.029646748101683773,0.011694889449327395,0.08182382133995048,0.2913467619042509,0.9805043138376471,0.008679229267464561,0.009648991784914185,0.011677535024671976,0.0007360711101031536,0.025580125580125568,0.2035376821422099,0.2138839922773441,0.4924023345075976,0.20879120879120883,0.22502666192676857,0.041206445989545565,0.09698996655518399,0.5532221417110602
1000,12,0.3666666666666667,0.3454545454545454,0.33333333333333337,0.33333333333333337,0.022963897553169813,0.33333333333333337,0.6323361032918832,0.7785693454984793,0.11465861287886958,0.022043515532514157,0.05465855348374854,0.004164571133393899,0.007275132275132323,0.15341312501808435,0.8497110460462106,0.06969624540401448,0.004399895860452974,0.08049003892832608,0.00979726823498607,0.08145488951967494,0.3366142617421555,0.2667564664359154,0.4314162177345733,0.3125,0.3125,0.07951919762098361,0.19999999999999996,0.34031712513851586
1000,13,0.3873015873015873,0.35154826958105645,0.33333333333333337,0.33333333333333337,0.011429880208468579,0.16049382716049387,0.7924591964703949,0.7325573192239859,0.13296156004489335,0.07880952380952388,0.07880952380952388,0.008270344437033339,0.005786924939467308,0.4681139501302647,0.8908975865497605,0.04633753071253072,0.01692343604108304,0.01692343604108304,0.00042887922556732183,0.03696846631629236,0.3120324184886441,0.3043322225070495,0.3855705842236872,0.1597222222222222,0.16580310880829016,0.022247223195682717,0.18181818181818177,0.473150234460499
1000,14,0.0,0.47058823529411764,0.030864197530864113,0.15625,0.03678447995085706,0.09962406015037595,0.6195022975468281,0.7176188847074924,0.14195789763346173,0.05467341859067887,0.05467341859067887,0.0062943366962056255,0.025509720246562395,0.17602124033001204,0.7666607721780135,0.10261874024647577,0.002012383900928838,0.04704532415375788,0.015389361931029612,0.026013986013985968,0.2810616759847039,0.18578497525865945,0.4869518428840463,0.1897275761817594,0.1897275761817594,0.05821737887491716,0.10504201680672276,0.48762985778229595
1000,15,0.6652892561983471,0.16007905138339923,0.22972972972972971,0.22972972972972971,0.06314022062644203,0.19718309859154926,0.5329196689910844,0.756286013619696,0.1334624211130236,0.038972030931404666,0.038972030931404666,0.003118352853427951,0.04407114624505937,0.146555219600743,0.7705881075446293,0.1117883920398326,0.10742062646494788,0.10742062646494788,0.017188018401799385,0.02831116252168886,0.2541876710856277,0.2271845874773253,0.4970530847062137,0.33591331269349844,0.33591331269349844,0.027963407726426304,0.22242647058823528,0.5532527753541787
1000,16,0.328042328042328,0.3413978494623656,0.18644067796610164,0.23076923076923078,0.07159493504057626,0.23809523809523814,0.4596719652496659,0.6988587974791346,0.16631390809463342,0.08943608804227887,0.08943608804227887,0.0020354116026727043,0.01644868811682587,0.13640468812833417,0.8227149140763601,0.0835878221531487,0.024033464317404052,0.07414765444757754,0.021913010987628122,0.06229871992638902,0.1452682583059316,0.29818181818181816,0.4447004608294931,0.29166666666666674,0.29166666666666674,0.029833975693690618,0.18829268292682932,0.6014208307854192
1000,17,0.0,0.5092592592592593,0.07756813417190767,0.21818181818181817,0.03742718443463116,0.12095959595959593,0.5793091382405595,0.742509769865393,0.137026964574557,0.013605051664753232,0.030926216640502366,0.0025481363544709867,0.04780219780219774,0.13126342601038038,0.7844270519767209,0.10191844247518927,0.044386359194840797,0.044386359194840797,0.003922526737220995,0.030411255411255445,0.35048036081832595,0.2469586374695864,0.4743295019157088,0.2533702039405461,0.2533702039405461,0.03538721478736138,0.12982456140350873,0.603133205552402
1000,18,0.5,0.3333333333333333,0.1428571428571429,0.1428571428571429,0.029759104203008785,0.10996563573883167,0.5698169343385993,0.8439518993336266,0.07907558739967169,0.017132697591724533,0.02917409387997623,0.006433417465899788,0.002293759392549277,0.34379395319907935,0.9660244727935433,0.015673792937785258,0.04405025868440504,0.0492352609402475,0.020006101616388907,0.05471982863541203,0.45214294031743296,0.35728307813113463,0.3997557997557998,0.11465721040189125,0.15083798882681565,0.042444537203027086,0.15217391304347827,0.4745226064176933
1000,19,0.47619047619047616,0.275,0.1797752808988764,0.1797752808988764,0.03410848311617522,0.18181818181818177,0.4591391637078898,0.7575575575575576,0.12742003367003363,0.06439393939393934,0.07814027370478983,0.0018454687219653515,0.03741881416300019,0.20331818369176852,0.8007411903773043,0.09342840451188639,0.01355042016806729,0.0655589840968431,0.016811859577994213,0.0491547538007715,0.3804910123036426,0.27877913962989664,0.4538717483363581,0.2524717514124294,0.2524717514124294,0.026327608499798226,0.1325342465753424,0.8469296883589554
1000,20,0.11764705882352941,0.8823529411764706,0.6666666666666667,0.944954128440367,0.03731182247965154,0.4154929577464789,0.5627422551377406,0.7163215471033393,0.15942878751184364,0.06903299025554732,0.06903299025554732,0.005973477502787088,0.010629107981220631,0.14773833991404728,0.8010923038439091,0.09727999347524668,0.04980237154150202,0.04980237154150202,0.002454411204621351,0.023729715349827152,0.37752263729123336,0.3382352941176471,0.41860465116279066,0.14425770308123254,0.15868090633569057,0.02852767582518361,0.07142857142857151,0.8178148991814539
1000,21,0.4612476370510397,0.30470420527441194,0.22580645161290325,0.22580645161290325,0.021018473941649178,0.16666666666666663,0.35177368038619294,0.714572864321608,0.15146666666666664,0.015131780570027509,0.05622978641647186,0.010862464373732332,0.004177003159256176,0.15962471012763602,0.801526390258543,0.091645672370186,0.06991045697818032,0.06991045697818032,0.0049932589526118926,0.0478452270620946,0.17613579888264064,0.2730582524271845,0.4264724919093851,0.2642140468227425,0.2642140468227425,0.03877805811905863,0.09090909090909083,0.5875977972485948
1000,22,0.0,0.4781297134238311,0.09393924943970244,0.11428571428571428,0.023473881114821793,0.12618296529968454,0.46188187142917503,0.7973364784510295,0.10820171065750123,0.07070860174308446,0.07070860174308446,0.0013469198446895564,0.008965848965849066,0.21739626943526552,0.9448614413604934,0.025960759630812458,0.02026696484729895,0.02253313696612666,0.008422351374521062,0.018473361412842726,0.2797718557674105,0.3070432480141218,0.4272715399016065,0.23333333333333328,0.23333333333333328,0.060318425248927776,0.17948717948717952,0.6821494417725605
1000,23,0.625,0.2,0.07637345188948874,0.2578616352201258,0.01787354240316346,0.9375,0.7108553231534873,0.7153247738915943,0.15869825823284683,0.08095747208363036,0.0887330754352031,0.0031916941179636407,0.020023790642347383,0.1839176518797101,0.7405157759442763,0.12671657580773338,0.08383665615479174,0.08383665615479174,0.00047536946298842864,0.012611786287548665,0.22561221294031325,0.2790495360262009,0.462564708715019,0.3782051282051282,0.3782051282051282,0.023669851883344868,0.22616407982261633,0.5493608148418458
1000,24,0.65015479876161,0.15826330532212884,0.2857142857142857,0.2857142857142857,0.01844548795311625,0.1428571428571429,0.3179340703628134,0.8060018903591682,0.09418377882298956,0.007549361207897731,0.025122807017543852,0.003139093742714774,0.020352478081946734,0.16474969251303717,0.8012875873439586,0.08967953877069634,0.0019592934846179855,0.0563452081084323,0.009524805163939755,0.037776812852800656,0.19477013336592286,0.23721129475600614,0.44252076128150436,0.21930894308943083,0.21930894308943083,0.023543726279756205,0.14396887159533078,0.5922100141131841
1000,25,0.6111111111111112,0.2121212121212121,0.1558441558441559,0.1558441558441559,0.03231166749958421,0.1384083044982699,0.46188187142917503,0.7121172838051241,0.15667611632053569,0.08025118101163731,0.08025118101163731,0.009101810956468857,0.00873725394798186,0.2381438377530356,0.870891310903373,0.0597261802746169,0.02692249355376919,0.03273170731707317,0.017184963004806694,0.009677074422583365,0.31078791554561314,0.31148644857190955,0.4047234225022265,0.19725962674226316,0.19725962674226316,0.02665345995827228,0.07843137254901955,0.6617276379983279
1000,26,0.14285714285714285,0.8571428571428572,0.1282051282051282,0.22033898305084745,0.020450131866636537,0.18055555555555558,0.2889106564404692,0.7985788047645827,0.10152938296419411,0.010472647099352361,0.06795183982683983,0.028304067195592163,0.02493438320209973,0.23711747331181976,0.8529062870699882,0.06751171803463685,0.021388378502526395,0.05542986425339366,0.006750650699266829,0.045454545454545525,0.3468094146781705,0.27133984028393965,0.4281096861641122,0.0766009852216748,0.16593337523570084,0.03923875440323908,0.1403162055335968,0.6084265636333164
1000,27,0.633167023045854,0.20578435292549652,0.17142857142857137,0.17142857142857137,0.019461766368860663,0.25,0.5330975203374895,0.7762474095329188,0.11821979650966918,0.02397280009220304,0.07229098180606262,0.016430870927927672,0.01974540860946461,0.17354719656512402,0.8758434547908233,0.05869218500797446,0.04051459293394777,0.04051459293394777,8.02234065096219e-06,0.006418613980543553,0.17194396155384645,0.26577307712445675,0.4669197216395299,0.28883183568677784,0.28883183568677784,0.021729321998226685,0.15000000000000002,0.5721705856388848
1000,28,0.33055555555555555,0.33753501400560226,0.2588235294117647,0.2588235294117647,0.05253719139929651,0.125,0.3024696829446045,0.7684868195823348,0.1167080142379463,0.04988100155386399,0.04988100155386399,0.002016536055166461,0.0030045952633439565,0.167469331250303,0.7956165120344224,0.09297773427942257,0.045264531245839734,0.045264531245839734,0.0007525900226724377,0.008296956750565077,0.14380278821125636,0.24934706549056326,0.4454961980892962,0.24086021505376343,0.24086021505376343,0.04448237603343334,0.16666666666666663,0.6976528190752231
1000,29,0.75,0.125,0.22943722943722944,0.241025641025641,0.023303222952629564,0.2272727272727273,0.7548926478957342,0.8443259317295536,0.07509480800037793,0.00033370875568339287,0.028804965469009527,0.002073704542562116,0.006973287281948126,0.16809979054220958,0.7926504769617484,0.09594654441573103,0.011194450710579673,0.01891891891891892,0.009787180628115205,0.035757297700292456,0.14652238895002512,0.35647038685381716,0.38460358056265986,0.13888888888888884,0.14890945142101786,0.02970672817450112,0.08732394366197183,0.8578938032153675
5000,0,0.6151615575807788,0.18399683105565456,0.19346846846846855,0.19346846846846855,0.016840867762454324,0.08571428571428563,0.7920933035282736,0.7955033951221522,0.10292320872564947,0.035711224103878725,0.05408676921636113,0.004328419178216282,0.013964021926551218,0.07652595338463514,0.8218187976851633,0.08203318947312932,0.048928660018307535,0.048928660018307535,0.0075640141816630466,0.02285542007852459,0.1539024546400909,0.28695015443604216,0.43838865856603215,0.20513833992094865,0.20513833992094865,0.020319693483514624,0.1325477618184353,0.4490730598639424
5000,1,0.48186119873817035,0.26882160392798693,0.19095477386934678,0.19095477386934678,0.02549348853526829,0.15851735015772872,0.7852271433511175,0.7670128008219194,0.12166015838813188,0.03162338226892225,0.05328422344996929,0.004643877226511918,0.0011907509940535244,0.10959814614142849,0.803539417979328,0.09260027978976543,0.03516822982893919,0.03722929433639249,0.001952486052963165,0.0021651015835452148,0.1506733293708692,0.3001306202286052,0.43167712088699156,0.18457358629581877,0.18457358629581877,0.01178300879017008,0.061282467532467466,0.6498401014074092
5000,2,0.6764423076923077,0.16741293532338308,0.096551724137931,0.1108910891089109,0.015037970086981114,0.32921245421245426,0.7716114542492094,0.7831643943637607,0.11060865956540006,0.03539575970848097,0.03550827423167849,0.0009236673081496408,0.017369110080477368,0.06311098507072266,0.7698465729156265,0.10812065495379619,0.026868047423887598,0.03947841048008573,0.006556887377112228,0.0065054577888522536,0.1257968448848389,0.3028233445774225,0.43862107460360833,0.1836371480962139,0.1836371480962139,0.030886798418454736,0.08344089603197735,0.3641333944415852
5000,3,0.40638977635782747,0.2921383647798742,0.20833333333333337,0.20833333333333337,0.049315479369418304,0.2662406815761449,0.9100014603310022,0.7463344889777686,0.1308394547592882,0.05224840154766586,0.05224840154766586,0.005301157936254401,0.013327021811164186,0.13284849145872202,0.8945424738669817,0.04707294043591154,0.028977342314758014,0.028977342314758014,0.006073009870820711,0.03607684208435147,0.06654348631313384,0.2810600097407263,0.44131590810187393,0.218591934381408,0.218591934381408,0.021028025885759895,0.13062073748699576,0.33737970339109524
5000,4,0.41025641025641024,0.3194444444444444,0.15885947046843174,0.15885947046843174,0.023372245643751142,0.3952380952380953,0.7852271433511175,0.7754462771780138,0.11568670535224357,0.058329841075400624,0.058329841075400624,0.00031814242616168276,0.008896707334925091,0.14137713081725267,0.845873233014136,0.07100840336134451,0.009035206260820439,0.017666036618764022,0.006501868005682886,0.018671032054094816,0.0818608421630469,0.31149747918834203,0.42316496285927596,0.1679056590067075,0.1679056590067075,0.01336878485569664,0.07061248325375291,0.1780856991424281
5000,5,0.642967741935484,0.18324503311258272,0.1639240506329115,0.1639240506329115,0.028227201738353393,0.1515151515151515,0.39069725921927284,0.783690638117775,0.11173440722293992,0.04783373280210457,0.057591475380554966,0.0035852272557450465,0.011444483896845159,0.08410222258824146,0.8597463369795978,0.06503791355564004,0.0010840424417731809,0.03404315949874005,0.007049173827985207,0.008355521204836958,0.0680831904916161,0.31046515016287946,0.4253354719263682,0.17193627984163184,0.17314439730790085,0.01618043772944546,0.04324622745675377,0.3054789173927017
5000,6,0.7906265722357676,0.10135071844732951,0.14840085287846483,0.14840085287846483,0.027338552014206062,0.09950449994943877,0.665861523359734,0.78299528866611,0.11020340043663956,0.03284350573103212,0.03284350573103212,0.0036244532786221598,0.014764317868499743,0.08034854459756252,0.858956973754838,0.06400271779192224,0.0060400243109315355,0.01675578977280065,0.00202147953668573,0.011641146859883045,0.07618323406758198,0.3100523077757,0.4162905546834118,0.19756179965088116,0.19756179965088116,0.012474033529761348,0.09619164619164622,0.1626023571888754
5000,7,0.7306107156238292,0.1301357466063348,0.23166023166023164,0.23166023166023164,0.03560778991409558,0.13888888888888884,0.5406471502883856,0.7377901650343875,0.13979774353329666,0.04658652870764857,0.04658652870764857,0.003212295017985818,0.0369727968981034,0.13130079332899536,0.7765753801300042,0.10567874818728118,0.016814349835202136,0.05696675108503686,0.008704293810264406,0.027672245368735693,0.14832214276175326,0.27481617647058826,0.4462669683257919,0.21310160427807479,0.21310160427807479,0.02142509354797585,0.04957545465494406,0.19419620945600202
