Model,Accuracy,AUC,DI_RACE,DI_SEX,DI_ETHNICITY,DI_AGE_GROUP,N_fair_metrics,Accuracy_cost
Standard,0.8490320279312097,0.9305962608750347,0.6400007837636329,0.753302180566525,0.8291453966209134,0.24809047334860962,15,0.0
Fair,0.8020007998875833,0.9272356995521103,0.9059981212589666,0.93690627077678,0.9823277742412901,0.8140324100905423,19,0.04703122804362636
