Sample_Size,Accuracy,AUC,F1,DI_RACE,SPD_RACE,EOPP_RACE,EOD_RACE,TI_RACE,PP_RACE,CAL_RACE,DI_SEX,SPD_SEX,EOPP_SEX,EOD_SEX,TI_SEX,PP_SEX,CAL_SEX,DI_ETHNICITY,SPD_ETHNICITY,EOPP_ETHNICITY,EOD_ETHNICITY,TI_ETHNICITY,PP_ETHNICITY,CAL_ETHNICITY,DI_AGE_GROUP,SPD_AGE_GROUP,EOPP_AGE_GROUP,EOD_AGE_GROUP,TI_AGE_GROUP,PP_AGE_GROUP,CAL_AGE_GROUP,VFR_DI_RACE,VFR_DI_SEX,VFR_DI_ETHNICITY,VFR_DI_AGE_GROUP
1000,0.7977473436165728,0.8776010525157061,0.7741281280556259,0.7830801373493329,0.10582347601959707,0.04619025150026823,0.04619025150026823,0.4926966292134831,0.1724755704565214,0.353871645171974,0.7518989458792189,0.13097767025275964,0.05266623969881845,0.08092380946685848,0.5058,0.014340523738607502,0.15280381914149088,0.8518830816908783,0.0686950197746195,0.024061052046241427,0.028419734904860078,0.494,0.02793356234671951,0.16767612463661563,0.2908744846565496,0.4474159145213834,0.2667963586482105,0.2667963586482105,0.49836,0.16296373785448937,0.2975295626492988,0.26666666666666666,0.13333333333333333,0.0,0.0
2000,0.8101618150962567,0.8923971983677836,0.7878758598199134,0.7096411513162428,0.14309209010303547,0.09662829080304813,0.09662829080304813,0.49213483146067416,0.16113094396158312,0.3846551139721676,0.7499455102081787,0.13205683738670543,0.05244705782096426,0.07793887212899234,0.4978,0.011403672276698695,0.12861132803096065,0.8413968653202762,0.07369771268697506,0.024536384289073898,0.03362558548347422,0.4964,0.018834803160537317,0.15211263379886675,0.28764020353956943,0.44822568214123726,0.2641567870510436,0.2641567870510436,0.4928,0.15150580585195428,0.23072565692877922,0.26666666666666666,0.13333333333333333,0.26666666666666666,0.0
5000,0.8223925286175997,0.9054623773110957,0.7985409514467876,0.6682529615130407,0.15827489207205647,0.08064104180609044,0.08064104180609044,0.48370786516853936,0.1225072258656088,0.2561457327262403,0.7422696046014547,0.13279460530158638,0.05501013898670004,0.07235836409380796,0.5018,0.006068407955001409,0.07789529374037285,0.8349090222852469,0.07454972406050048,0.025339134910184247,0.03180314415755807,0.4914,0.014018507391170831,0.08603863833031766,0.2400626555479772,0.4690280230060563,0.31018577255829005,0.31018577255829005,0.4906400000000001,0.08371685086364444,0.13610169556887974,0.2,0.13333333333333333,0.26666666666666666,0.0
10000,0.8305643531179402,0.9124008631805196,0.8077748482433013,0.6626704281897493,0.16157913171550975,0.08498297818686162,0.08498297818686162,0.48876404494382014,0.10860530526745704,0.22057085665768905,0.7409797715002086,0.1335393517365438,0.0551394984630309,0.07020210971253302,0.5,0.004187650275315868,0.05982978903695457,0.8321051593495706,0.07584834876501884,0.026682440821046316,0.031048643393767394,0.4906,0.012540616384025371,0.0639316565797069,0.24345032173831357,0.46631696254574306,0.29969352497962265,0.29969352497962265,0.48772000000000004,0.077702917323059,0.08030930188490193,0.13333333333333333,0.26666666666666666,0.26666666666666666,0.0
25000,0.8383470431182645,0.9208738718410318,0.8171313279530448,0.6504737316169464,0.16905113157579404,0.07916032187876854,0.07916032187876854,0.4859550561797753,0.10189825796413898,0.17337731078232088,0.7451260548547657,0.13176231335098715,0.05165544924489196,0.06652386121724069,0.5026,0.004462382703546597,0.03380579265991568,0.8306068286500058,0.07700938961002662,0.031022403250990704,0.031022403250990704,0.4932,0.01530932539602159,0.03625314293795123,0.24471174200169374,0.46772088421598274,0.2942900900217057,0.2942900900217057,0.48848,0.06975383120497547,0.04565043692344117,0.13333333333333333,0.0,0.26666666666666666,0.0
50000,0.8419735604725822,0.9241771577431481,0.819800442502419,0.6516514012352218,0.16592468984815134,0.08572980417640608,0.08572980417640608,0.48735955056179775,0.10414499653824827,0.20972979789941115,0.7465114537410418,0.1287859144796113,0.051764264235768076,0.05939899986379879,0.4988,0.006450547152008768,0.03291891784813428,0.8323665515935665,0.07493546537746798,0.028256182052465495,0.028256182052465495,0.4956,0.014460129538529043,0.022887304301805078,0.23969418940168283,0.4654964845838552,0.2966688390435036,0.2966688390435036,0.48624,0.05854856891069238,0.04392121516273284,0.0,0.0,0.26666666666666666,0.0
100000,0.8445083393685212,0.9266589770841065,0.823555386559054,0.6515248111362504,0.16751965600833246,0.07080621643728446,0.07080621643728446,0.4856741573033708,0.0889732174142791,0.14189724715917626,0.750723658064585,0.12751657006437822,0.0500302034903326,0.057264943956950726,0.5064,0.008882161784737774,0.02444599716909973,0.8316802940124843,0.07601522984989068,0.030618141735928472,0.030618141735928472,0.4942,0.015974317890959155,0.016373905490540186,0.24751673510599403,0.4639054393008262,0.28489470840088127,0.28489470840088127,0.48532000000000003,0.06933434064067401,0.04583007773115466,0.13333333333333333,0.13333333333333333,0.26666666666666666,0.0
740102,0.8481240474311719,0.9296038343438516,0.8273650454302512,0.6450442582707013,0.17080358108773513,0.07752765034318432,0.07752765034318432,0.48651685393258426,0.08338662103209649,0.1831636885024016,0.7532418472605891,0.1255519795023864,0.04777425618871789,0.05404501874412433,0.4968,0.009279342216682807,0.025826941471480236,0.8296160196909299,0.07672554787944164,0.030389009559052882,0.030389009559052882,0.4932,0.013651547966058608,0.019532877655679903,0.24741558347121279,0.4643759458462111,0.28402768786451016,0.28402768786451016,0.48575999999999997,0.07120868618442955,0.045400923474042454,0.13333333333333333,0.13333333333333333,0.4,0.0
