Lambda,Accuracy,AUC,F1,DI_RACE,DI_SEX,DI_ETHNICITY,DI_AGE_GROUP,N_fair_RACE,N_fair_SEX,N_fair_ETHNICITY,N_fair_AGE_GROUP,Total_Fair_of_28,Accuracy_Drop,All_DI_Fair
0.0,0.8490320279312097,0.9305962608750347,0.8286939083399261,0.6400007837636329,0.753302180566525,0.8291453966209134,0.24809047334860962,3,4,6,2,15,0.0,False
0.5,0.8442813442435118,0.9272356995521103,0.8220492866407263,0.6588325503853587,0.7831686484915898,0.8731199309853488,0.3856500559923448,3,4,6,2,15,0.004750683687697932,False
1.0,0.8314020732221418,0.9172147127499719,0.8069771614907216,0.6905863468983098,0.8213783704143258,0.9256449366982084,0.5590506263108634,2,6,6,2,16,0.01762995470906792,False
2.0,0.7868948147827873,0.8776526400717224,0.757219383042916,0.7303345219264753,0.9266447275220452,0.9716974805699581,0.909092893975948,2,4,4,2,12,0.062137213148422354,False
5.0,0.6579615837774151,0.7253733540881016,0.607124233319262,0.7725837093150172,0.8516080499972121,0.8075494380154096,0.3684646207226995,2,3,4,0,9,0.1910704441537946,False
10.0,0.6220639261509193,0.6913285149776036,0.5704351672113424,0.7698426319284652,0.8327592338137163,0.7869966593773574,0.3126224019339188,0,3,2,0,5,0.22696810178029037,False
20.0,0.5887659031703653,0.6630408530185079,0.5334853863556938,0.7095737591995254,0.816694736979267,0.7708426387426964,0.22825368571275054,0,3,2,0,5,0.26026612476084443,False
30.0,0.5829072670867878,0.6578554530993743,0.521861427606674,0.6860138386707395,0.7985951849358005,0.7622733000655241,0.21168631074727565,0,2,2,0,4,0.26612476084442194,False
50.0,0.5789997081491249,0.6538629765765769,0.5162279993541095,0.6520571414924363,0.7923219123945867,0.7560830341487543,0.20164344688147562,0,2,2,0,4,0.27003231978208475,False
