N_Hospitals,N_Train,Accuracy,AUC,DI_RACE,SPD_RACE,N_Fair_RACE,DI_SEX,SPD_SEX,N_Fair_SEX,DI_ETHNICITY,SPD_ETHNICITY,N_Fair_ETHNICITY,DI_AGE_GROUP,SPD_AGE_GROUP,N_Fair_AGE_GROUP
1,12785,0.8091241230962135,0.8883934535538325,0.6391251681296698,0.15384819696419155,0,0.7829165116225223,0.09888139618414371,4,0.8304262947000046,0.06986686061153718,5,0.3093408033993723,0.3831865863492787,0
2,24882,0.8120966783046707,0.8946713415257184,0.6663555770375942,0.16525922111414532,0,0.7946142516403004,0.10752232846349091,3,0.8614642170708658,0.06558053318367374,5,0.3750956164478608,0.3825655682779341,0
3,35386,0.8133235329088885,0.9012319676189706,0.6996448333719258,0.1585744560911917,0,0.7967832602025475,0.11341298841097563,3,0.8541559787293054,0.07386968413904893,5,0.35706891095584403,0.42062814526772657,0
5,55497,0.820209051700842,0.9066648275638343,0.6968849086293986,0.15577820182998442,0,0.8125078904964463,0.10009729366079956,4,0.8676512972033374,0.06461002976529939,5,0.3786075131047634,0.392132139564665,0
10,99803,0.8346124328472755,0.9178241000994914,0.6732533118841205,0.1656376177698951,0,0.7693307354746587,0.12505222901809326,3,0.8323722623792812,0.0813347370173651,5,0.28771381123286033,0.4579624322844724,0
50,344496,0.8447299298476971,0.92667737955837,0.713265595378971,0.14058788044024023,2,0.7574397880739667,0.12561811337863926,4,0.8403842808556943,0.07316314481409864,6,0.2754066874370816,0.44757948335285913,1
100,522048,0.8461243284727552,0.9283871956694683,0.6805694004713388,0.15623288422178117,2,0.7547052972818437,0.12696196129075576,4,0.8324451248859599,0.07677603029184932,6,0.2607388831928513,0.45877488715184833,2
439,740102,0.8479240755353302,0.9295782871845337,0.654093962439231,0.16637421779832334,3,0.7535399052575673,0.12548750023081612,4,0.8301680425458713,0.07653511444576694,6,0.2464286125983046,0.46560272295204386,2
