N_Hospitals,N_Train,Std_Acc,Std_AUC,Std_DI_Race,Std_DI_Sex,Std_DI_Eth,Std_DI_Age,Std_N_fair_5m_20,Fair_Acc,Fair_AUC,Fair_DI_Race,Fair_DI_Sex,Fair_DI_Eth,Fair_DI_Age,Fair_N_fair_5m_20,Delta_Acc,Delta_N_fair
1,12785,0.8091241230962135,0.8883934535538325,0.6391251681296698,0.7829165116225223,0.8304262947000046,0.3093408033993723,9,0.7694864505528952,0.8854224421459929,0.8367603955670205,0.919343778691821,0.939898766965756,0.7420713031025874,14,-0.03963767254331829,5
2,24882,0.8120966783046707,0.8946713415257184,0.6663555770375942,0.7946142516403004,0.8614642170708658,0.3750956164478608,8,0.77168073676132,0.8871819130423727,0.8990338636478528,0.932807483896406,0.9573579494957708,0.7884231895076411,13,-0.04041594154335071,5
3,35386,0.8133235329088885,0.9012319676189706,0.6996448333719258,0.7967832602025475,0.8541559787293054,0.357068910955844,8,0.7713240301363051,0.8941734803398791,0.9101516562845666,0.942615132134796,0.9671795800123644,0.8274216156410609,15,-0.04199950277258335,7
5,55497,0.820209051700842,0.9066648275638344,0.6968849086293986,0.8125078904964463,0.8676512972033374,0.3786075131047634,9,0.7772313080323846,0.8976873324066702,0.928096508152688,0.9544755293408446,0.9747300120231398,0.8356276899312877,14,-0.04297774366845741,5
10,99803,0.8346124328472755,0.9178241000994914,0.6732533118841205,0.7693307354746587,0.8323722623792812,0.2877138112328603,8,0.7840141385535006,0.9080621423356398,0.9178617993838676,0.9482031933968424,0.9800826512843506,0.837953724416601,15,-0.05059829429377494,7
50,344496,0.8447299298476971,0.92667737955837,0.713265595378971,0.7574397880739667,0.8403842808556943,0.2754066874370816,13,0.7892998821787208,0.9116831514623152,0.9410807926543716,0.9566853719773382,0.9928540086463168,0.8939286181039505,13,-0.0554300476689763,0
100,522048,0.8461243284727552,0.9283871956694684,0.6805694004713388,0.7547052972818437,0.8324451248859599,0.2607388831928513,14,0.7907645411996151,0.9127008211274308,0.9488975420445592,0.9536171790398282,0.9994013278904056,0.8929219193668098,13,-0.05535978727314006,-1
439,740102,0.8479240755353302,0.9295782871845336,0.654093962439231,0.7535399052575673,0.8301680425458713,0.2464286125983046,15,0.7915265962621469,0.913239370267175,0.9367977528089888,0.9545735801870692,0.9995317416832076,0.892814501046836,13,-0.05639747927318328,-2
