Lambda,Accuracy,AUC,F1,DI_RACE,SPD_RACE,EOPP_RACE,EOD_RACE,TI_RACE,PP_RACE,CAL_RACE,N_Fair_RACE,DI_SEX,SPD_SEX,EOPP_SEX,EOD_SEX,TI_SEX,PP_SEX,CAL_SEX,N_Fair_SEX,DI_ETHNICITY,SPD_ETHNICITY,EOPP_ETHNICITY,EOD_ETHNICITY,TI_ETHNICITY,PP_ETHNICITY,CAL_ETHNICITY,N_Fair_ETHNICITY,DI_AGE_GROUP,SPD_AGE_GROUP,EOPP_AGE_GROUP,EOD_AGE_GROUP,TI_AGE_GROUP,PP_AGE_GROUP,CAL_AGE_GROUP,N_Fair_AGE_GROUP,Total_Fair,Acc_Drop
0.0,0.8501453849729227,0.9315547735603353,0.8301405948479187,0.6444358158851498,0.17203282445451457,0.07036329366426453,0.07036329366426453,0.4856741573033707,0.07888711484999189,0.1449889302253723,3,0.755512064994096,0.12490132756170924,0.04595889873779013,0.053482121625933327,0.498,0.009651894386058735,0.02065499635405621,4,0.8335014128499473,0.07532415316160052,0.026977939235868553,0.026977939235868553,0.4912,0.013793646305211071,0.017530535749940346,6,0.25406444271262035,0.4608095743554276,0.2721482132110151,0.2721482132110151,0.48448000000000013,0.07904013893196904,0.039596035406251284,2,15,0.0
1.0,0.8325802860138575,0.9187033949675213,0.8088889437284454,0.6978982352249612,0.14834434483772363,0.06976841928298239,0.06976841928298239,0.4943820224719101,0.12509387346793455,0.18046506813594276,2,0.8243448772093532,0.08411139661608041,0.02292831111866611,0.02292831111866611,0.4956,0.059746302512559524,0.0451287194070038,6,0.9242861728456142,0.03290445203562492,0.009461829886588835,0.017442840863935133,0.4848,0.06070074395550762,0.08508163443847594,5,0.5591099452723309,0.23023727065885297,0.06138063083688583,0.06138063083688583,0.48319999999999996,0.33374803539927034,0.28277750920262523,2,15,0.017565098959065217
3.0,0.7275247803011469,0.812852096560001,0.6911659305452608,0.7827654199867903,0.1091378426248309,0.10935518025178892,0.10935518025178892,0.5014044943820225,0.15610175317978692,0.3729756584873906,0,0.9496436633210432,0.022153728243396897,0.013398285263811704,0.14954109036451924,0.49,0.22492852397861696,0.31644393935354376,3,0.8790283122351048,0.05726782606054526,0.05692200755635157,0.1128788445290215,0.4856,0.14280976134118228,0.3403745650308696,3,0.5946970527427161,0.23626742873560275,0.4053619971408484,0.4622497928961908,0.49951999999999996,0.6342120183900263,0.6404157268521858,0,6,0.12262060467177582
5.0,0.66696031909029,0.738824527035384,0.6174675796308827,0.7719011492125677,0.11373920071430665,0.16374521088738803,0.16374521088738803,0.5025280898876405,0.15018324829710883,0.4315208401689348,0,0.860853018415058,0.06160810304118869,0.01336844532770276,0.19970075802897233,0.4946,0.2757702020821431,0.39994132407326943,3,0.8188064114422451,0.0876647434714149,0.0797884955464947,0.13352587572686395,0.493,0.14370943563358185,0.404730342429929,3,0.3971905327634885,0.3882450287774741,0.5571123003157357,0.5571123003157357,0.5076,0.6781395189085847,0.6788749339133663,0,6,0.18318506588263272
10.0,0.6331164268805465,0.7067641289924405,0.5828412002925144,0.7689741904457515,0.11758267099976172,0.21049991591165473,0.21049991591165473,0.5042134831460675,0.16991470524724683,0.5017618151272044,0,0.8435991331919552,0.07118279659995236,0.01294178361181475,0.20380808230878183,0.5058,0.2716604403863687,0.4690577128994944,3,0.7956262165205428,0.10296124873598028,0.09043992625241748,0.14405469896953188,0.4962,0.13718908155963816,0.4753236791807784,1,0.3345533745184479,0.4519837568807561,0.6105220174549214,0.6105220174549214,0.51788,0.6884317365269652,0.7385068338024763,0,4,0.2170289580923762
15.0,0.609384627025391,0.6872147299660805,0.5595734308348568,0.7651751908621937,0.12195965757604044,0.2161317744416129,0.2161317744416129,0.502247191011236,0.16191884305307175,0.5608182375247661,0,0.8358707810771223,0.07622141148292172,0.012408658638140113,0.2032743936160988,0.51,0.2644698694689077,0.5206807345670703,3,0.7870441859966933,0.10994494229692758,0.09571064376709204,0.14659129074373844,0.4978,0.1291684696367919,0.5236311817702394,1,0.27788804468494893,0.5486667038441952,0.6413302162637997,0.6413302162637997,0.52336,0.6951911500478882,0.7654907236421704,0,4,0.2407607579475317
30.0,0.5957000637748209,0.6739846987593056,0.5366615051099412,0.7257984724648961,0.14441793936188757,0.23973183029973327,0.23973183029973327,0.503370786516854,0.17157267750164817,0.6248419341975695,0,0.8110522566006408,0.08569754871186658,0.004873806683693083,0.20828927301427727,0.4966,0.26940482462742743,0.5356861578156756,3,0.7697509132234788,0.11670576220260781,0.10040530120731317,0.1511214721465805,0.4988,0.12836032572820721,0.5334306865470394,0,0.23901302403492997,0.6188007521766982,0.6739709880044307,0.6917327205165807,0.53144,0.6952438657291273,0.7862498293602767,0,3,0.2544453211981018
50.0,0.5904251294412677,0.669587525803867,0.5299641497029015,0.7084060454476868,0.15685461319316846,0.23814057130303334,0.23814057130303334,0.5042134831460674,0.18090145638193927,0.6078463764417739,0,0.8064430329377337,0.08769556354622304,0.004320238088962536,0.20935350684418005,0.496,0.2695327293060177,0.535399529269126,3,0.7656162103601315,0.1188893896061724,0.09860092706676471,0.1548369010331732,0.5018,0.13003315145950028,0.5308716599039789,1,0.22498668907303582,0.6601110396578493,0.6797586056063942,0.7550674900124876,0.53332,0.6980127532545352,0.7890561603951434,0,4,0.259720255531655
100.0,0.5862149103369256,0.6692999875269942,0.5243328880743064,0.6821278760895028,0.1767940464446024,0.24414547775098472,0.24414547775098472,0.5002808988764045,0.1895226537216828,0.5926231668919932,0,0.8072223259500613,0.08701179322437003,0.0037805586989120288,0.2056718546064892,0.4916,0.2659438625830923,0.5405542748071763,3,0.7596493952462073,0.1221294494574221,0.10011805917213207,0.15825099558472877,0.4992,0.13036464919421387,0.5509299864879874,0,0.2176899032481649,0.6795958098029343,0.6850474078947278,0.7826830111494663,0.5345599999999999,0.7010678681686386,0.7929365155330459,0,3,0.26393047463599706
