Protected Attribute,Standard,XGBoost,AFCE-XGB,AFCE-LGBM,Fair (Ours)
Race,0.175,0.178,0.197,0.202,0.088
Sex,0.123,0.123,0.107,0.107,0.052
Ethnicity,0.078,0.078,0.076,0.076,0.039
Age Group,0.435,0.435,0.436,0.436,0.208
