Protected Attribute,Standard,XGBoost,AFCE-XGB,AFCE-LGBM,Fair (Ours)
Race,0.652,0.649,0.622,0.616,0.908
Sex,0.761,0.763,0.79,0.789,0.964
Ethnicity,0.83,0.832,0.835,0.836,0.974
Age Group,0.291,0.293,0.291,0.292,0.801
