Hospital,N,Accuracy,Selection_Rate,DI_RACE,DI_SEX
102,1931,0.859658208182289,0.48265147591921287,0.7751117384144908,0.692862498125656
105,930,0.9032258064516129,0.7247311827956989,0.9004689942678479,0.9180412181771426
112,169,0.863905325443787,0.5443786982248521,0.5223880597014925,0.9058823529411766
1000,1756,0.8542141230068337,0.4123006833712984,0.3452380952380952,0.7675219683655535
2001,1001,0.8481518481518482,0.3866133866133866,0.5588235294117647,0.9774522949974213
6000,151,0.8940397350993378,0.271523178807947,0.5899159663865546,0.6498599439775911
7000,1820,0.9043956043956044,0.16483516483516483,0.14285714285714285,0.0
15001,558,0.8835125448028673,0.43010752688172044,0.43963963963963965,0.8881476401271899
19000,549,0.8633879781420765,0.5919854280510018,0.0,0.8783863368669022
20000,243,0.8847736625514403,0.32510288065843623,0.18076923076923077,0.48644520809469266
27000,953,0.8793284365162645,0.42707240293809023,0.5098039215686274,0.9063950198075834
29000,1503,0.8875582168995343,0.42248835662009315,0.0,0.8022959439661229
30000,173,0.7861271676300579,0.6878612716763006,0.8387799564270153,0.8842512077294685
34000,224,0.8616071428571429,0.3169642857142857,0.0,0.4652394106813996
35000,1005,0.8696517412935323,0.5194029850746269,0.5076530612244897,0.955813138775075
38001,108,0.8333333333333334,0.37962962962962965,0.4086021505376344,0.7482758620689656
40000,1118,0.8729874776386404,0.315742397137746,0.7725199543899658,0.9092307692307693
42000,690,0.8840579710144928,0.32318840579710145,0.4907094594594595,0.4510705789056304
47000,731,0.8727770177838577,0.5321477428180574,0.3216783216783217,0.9185432304698361
56000,526,0.8935361216730038,0.49429657794676807,,0.9660218253968254
58000,335,0.8955223880597015,0.5701492537313433,0.6437177280550774,0.7157239819004525
61000,150,0.8933333333333333,0.5133333333333333,0.0,0.7499999999999999
63000,174,0.8908045977011494,0.23563218390804597,,0.5571428571428572
64000,762,0.8503937007874016,0.41863517060367456,0.0,0.66963797440665
71000,610,0.898360655737705,0.21639344262295082,0.0,0.32608695652173914
76000,982,0.8615071283095723,0.5020366598778004,0.24001210653753025,0.8538542938542939
81001,525,0.8438095238095238,0.4666666666666667,0.7699868641572677,0.6959141404631896
85000,355,0.8760563380281691,0.6253521126760564,0.0,0.8691673370876911
91001,688,0.8793604651162791,0.40406976744186046,0.3492063492063492,0.8981662591687042
95002,713,0.8513323983169705,0.5371669004207573,0.8333333333333334,0.8702003750863685
95003,110,0.9727272727272728,0.03636363636363636,0.0,0.11320754716981132
108000,106,0.839622641509434,0.6509433962264151,0.46666666666666673,0.869281045751634
109000,434,0.9585253456221198,0.4447004608294931,0.43564356435643564,0.9180057161003493
114001,1850,0.8583783783783784,0.4610810810810811,0.6350806451612904,0.723504462074617
117000,1733,0.9353721869590306,0.48182342758222735,0.0,0.8887111013021408
118000,3019,0.8684995031467373,0.5107651540245114,0.0,0.9544532571642311
119000,999,0.8628628628628628,0.4804804804804805,0.7647058823529411,0.7802916038210156
121000,152,0.8881578947368421,0.3355263157894737,0.5560975609756098,0.5379098360655737
124000,3194,0.8622417031934878,0.5842204132748904,0.8223602624645261,0.9642185907237513
126000,202,0.8712871287128713,0.26732673267326734,0.6363636363636364,0.6145966709346992
129000,670,0.8597014925373134,0.5432835820895522,0.40384615384615385,0.9516836055459946
130000,1654,0.9189842805320435,0.28597339782345826,0.6502732240437159,0.3958500584218936
134001,1567,0.8889597957881302,0.33439693682195276,0.8004950495049504,0.5312111296852347
137000,229,0.8864628820960698,0.4585152838427948,0.6832298136645963,0.7115768463073852
140002,427,0.8032786885245902,0.6416861826697893,0.6382978723404256,0.9893924783027965
141000,202,0.905940594059406,0.4405940594059406,0.6493055555555556,0.6220657276995305
142000,1096,0.8594890510948905,0.5036496350364964,0.0,0.8001110197093424
143000,785,0.9222929936305733,0.45605095541401275,0.5221674876847291,0.8844813722862503
144000,902,0.8902439024390244,0.31596452328159647,0.7105263157894737,0.4678571428571428
145000,988,0.8562753036437247,0.4908906882591093,0.9097826086956522,0.8861366612498619
146000,281,0.8683274021352313,0.2846975088967972,0.30441400304414,0.5082252451755774
154000,2549,0.8591604550804237,0.4774421341702628,0.6772727272727272,0.780417163779981
154001,766,0.881201044386423,0.6357702349869452,0.9551437013161429,0.9611173059768064
