Metric,Threshold,Race,Sex,Ethnicity,Age Group
DI,0.8,0.606 (0.103),0.758 (0.016),0.839 (0.024),0.292 (0.014)
SPD,0.1,0.199 (0.053),0.126 (0.010),0.074 (0.011),0.436 (0.010)
EOPP,0.1,0.141 (0.086),0.038 (0.009),0.020 (0.012),0.185 (0.026)
EOD,0.1,0.147 (0.083),0.051 (0.007),0.029 (0.010),0.185 (0.025)
TI,0.1,0.025 (0.012),0.005 (0.002),0.003 (0.003),0.019 (0.004)
PP,0.1,0.113 (0.069),0.007 (0.005),0.010 (0.007),0.070 (0.026)
CAL,0.05,0.528 (0.135),0.068 (0.013),0.079 (0.018),0.232 (0.059)
