Lambda,Accuracy,Delta Acc (pp),F1,AUC,Fair Verdicts,CFS (%)
Baseline (lambda = 0),0.8561,-2.15,0.8627,0.9527,22,78.6
lambda = 1,0.8588,-1.88,0.8093,0.9527,21,75.0
lambda = 3,0.8519,-2.57,—,—,20,71.4
lambda = 8,0.8184,-5.92,—,—,19,67.9
lambda = 15,0.82,-5.76,—,—,18,64.3
lambda = 25,0.7986,-7.9,—,—,18,64.3
lambda = 50,0.8451,-3.25,—,—,17,60.7
