Attribute,Std Acc,Fair Acc,Δ Acc (pp),Std DI,Fair DI,Δ DI,Std Fair/7,Fair Fair/7,Δ Verdicts
Race,0.8776,0.8281,-4.95,0.652,0.908,0.256,4,4,0
Sex,0.8776,0.8281,-4.95,0.761,0.964,0.203,5,6,1
Ethnicity,0.8776,0.8281,-4.95,0.83,0.974,0.144,7,7,0
Age Group,0.8776,0.8281,-4.95,0.291,0.801,0.51,2,3,1
